rank,word,total_count,contemporary,late_qing,mingqing,republican,socialist
1,一个,139288,34908,26250,18598,32409,27123
2,没有,94666,24525,12540,4286,27238,26077
3,他们,89071,24141,12886,3211,20921,27912
4,我们,83343,19425,14711,6404,19867,22936
5,自己,81227,25043,12003,5154,21326,17701
6,什么,73992,22767,9044,3897,21191,17093
7,这个,61421,15861,11496,5263,12619,16182
8,知道,58511,15772,9353,4948,16778,11660
9,起来,55826,11879,9239,6694,13783,14231
10,不是,52442,14184,8975,6560,11891,10832
11,就是,51863,14965,10500,5988,10152,10258
12,出来,44423,8031,10646,8011,9560,8175
13,两个,42342,7307,9218,10523,6933,8361
14,你们,42252,9369,8629,3837,8090,12327
15,这样,41833,12270,3552,2767,12738,10506
16,不能,40207,7957,9225,5882,9402,7741
17,现在,36770,11841,5087,1232,10416,8194
18,时候,36611,10922,4186,849,11708,8946
19,已经,35195,13073,3863,934,8838,8487
20,怎么,33965,10160,4731,4464,5847,8763
21,可以,32696,9076,6279,2170,9018,6153
22,这里,31664,4877,7987,4873,7255,6672
23,还是,30229,11365,3532,2006,6206,7120
24,说道,29791,1209,11133,9314,4832,3303
25,那里,29519,3162,9412,8487,5302,3156
26,可是,29258,4957,1585,903,9720,12093
27,不知,28476,3592,10159,9726,2774,2225
28,大家,28187,4819,6752,2758,6186,7672
29,看见,26578,5911,4094,3467,8204,4902
30,回来,26300,5344,5586,3835,5109,6426
31,那个,25849,7494,4322,2519,5598,5916
32,觉得,25417,7855,2035,722,10287,4518
33,还有,25021,6679,4788,2871,5138,5545
34,心里,24727,7090,1700,1886,6316,7735
35,因为,24515,6279,3337,511,9088,5300
36,不过,24407,4401,6203,3346,6385,4072
37,一样,23051,9085,1845,841,5229,6051
38,这些,23050,6322,2902,2661,4577,6588
39,所以,23041,3241,7164,3395,6612,2629
40,东西,22701,5402,4002,2513,6659,4125
41,一声,22645,4454,5286,3985,3971,4949
42,的话,22561,5037,3819,1966,6222,5517
43,人家,22402,4366,4649,2708,5657,5022
44,不要,21780,4480,4418,3429,5003,4450
45,地方,21508,5479,4082,1884,5488,4575
46,不敢,21099,2818,5962,6298,3520,2501
47,一点,20573,5251,1710,793,7434,5385
48,咱们,20016,2885,3776,1570,3453,8332
49,只是,19790,4884,2796,5386,3752,2972
