transition,ensemble_size,split_id,overlap
mingqing_to_late_qing,1,1,0.52
mingqing_to_late_qing,1,2,0.42
mingqing_to_late_qing,1,3,0.41
mingqing_to_late_qing,1,4,0.43
mingqing_to_late_qing,1,5,0.52
mingqing_to_late_qing,1,6,0.43
mingqing_to_late_qing,1,7,0.52
mingqing_to_late_qing,1,8,0.51
mingqing_to_late_qing,1,9,0.47
mingqing_to_late_qing,1,10,0.5
mingqing_to_late_qing,1,11,0.46
mingqing_to_late_qing,1,12,0.52
mingqing_to_late_qing,1,13,0.5
mingqing_to_late_qing,1,14,0.43
mingqing_to_late_qing,1,15,0.53
mingqing_to_late_qing,1,16,0.57
mingqing_to_late_qing,1,17,0.52
mingqing_to_late_qing,1,18,0.62
mingqing_to_late_qing,1,19,0.49
mingqing_to_late_qing,1,20,0.45
mingqing_to_late_qing,1,21,0.58
mingqing_to_late_qing,1,22,0.42
mingqing_to_late_qing,1,23,0.5
mingqing_to_late_qing,1,24,0.46
mingqing_to_late_qing,1,25,0.44
mingqing_to_late_qing,1,26,0.44
mingqing_to_late_qing,1,27,0.53
mingqing_to_late_qing,1,28,0.54
mingqing_to_late_qing,1,29,0.46
mingqing_to_late_qing,1,30,0.58
mingqing_to_late_qing,1,31,0.38
mingqing_to_late_qing,1,32,0.51
mingqing_to_late_qing,1,33,0.43
mingqing_to_late_qing,1,34,0.49
mingqing_to_late_qing,1,35,0.43
mingqing_to_late_qing,1,36,0.49
mingqing_to_late_qing,1,37,0.42
mingqing_to_late_qing,1,38,0.35
mingqing_to_late_qing,1,39,0.47
mingqing_to_late_qing,1,40,0.51
mingqing_to_late_qing,1,41,0.49
mingqing_to_late_qing,1,42,0.51
mingqing_to_late_qing,1,43,0.5
mingqing_to_late_qing,1,44,0.53
mingqing_to_late_qing,1,45,0.49
mingqing_to_late_qing,1,46,0.47
mingqing_to_late_qing,1,47,0.48
mingqing_to_late_qing,1,48,0.49
mingqing_to_late_qing,1,49,0.41
