word,mean_change,std_change,ci_low,ci_high,n_trials,z_score,count_pre,count_post,cooc_pre,cooc_post,null_mean,p_value
温柔,0.309915,0.032743,0.248150,0.363724,100,9.464999,80,749,2,43,0.002704,0.009901
丁宁,0.303841,0.040184,0.232489,0.375825,100,7.561240,5,781,0,36,-0.002619,0.009901
笑容,0.295580,0.038827,0.223883,0.369646,100,7.612747,65,953,3,20,-0.008117,0.009901
凝视,0.292042,0.038652,0.221408,0.358684,100,7.555774,16,344,0,10,-0.001417,0.009901
嘴唇,0.291483,0.040709,0.221022,0.366714,100,7.160182,79,981,2,18,0.010816,0.009901
柔和,0.290277,0.039699,0.213112,0.365472,100,7.311934,8,217,0,5,-0.000469,0.009901
微笑,0.279047,0.041055,0.208761,0.376331,100,6.796872,145,2149,0,43,-0.007678,0.009901
不自觉,0.278717,0.042867,0.194698,0.355500,100,6.501855,11,131,0,9,0.000754,0.009901
愉快,0.278289,0.038492,0.211766,0.351020,100,7.229854,14,748,5,47,0.004259,0.009901
苦痛,0.273569,0.038487,0.196784,0.331537,100,7.108012,6,192,0,10,-0.001511,0.009901
冷静,0.272951,0.038609,0.204693,0.344764,100,7.069685,15,430,1,15,-0.000929,0.009901
庄严,0.272620,0.037826,0.205070,0.345068,100,7.207216,43,422,0,17,-0.003974,0.009901
冷淡,0.270838,0.039552,0.197200,0.339608,100,6.847614,70,491,1,9,-0.000699,0.009901
态度,0.267836,0.037882,0.208400,0.348148,100,7.070343,123,1465,2,36,0.000350,0.009901
情感,0.265988,0.034549,0.199294,0.335001,100,7.698806,6,283,0,16,-0.009947,0.009901
忧郁,0.263463,0.039049,0.189829,0.337193,100,6.747015,14,376,1,20,-0.003071,0.009901
同时,0.262548,0.038950,0.191907,0.340174,100,6.740661,220,2244,1,96,-0.001344,0.009901
严肃,0.261358,0.038108,0.184191,0.335639,100,6.858299,37,924,1,40,0.001797,0.009901
温和,0.258963,0.036774,0.188490,0.326399,100,7.042054,40,443,2,15,0.001429,0.009901
姿态,0.252567,0.039186,0.183554,0.324463,100,6.445286,17,148,0,5,-0.002890,0.009901
不作声,0.252482,0.038482,0.183487,0.326884,100,6.561046,22,406,3,16,0.000970,0.009901
异样,0.248499,0.042547,0.169587,0.320450,100,5.840611,49,251,0,21,0.002365,0.009901
痛苦,0.247649,0.038552,0.187115,0.327811,100,6.423763,89,1746,2,99,-0.001025,0.009901
某种,0.245477,0.038856,0.166734,0.311443,100,6.317622,5,169,0,6,-0.008847,0.009901
