word,mean_change,std_change,ci_low,ci_high,n_trials,z_score,count_pre,count_post,cooc_pre,cooc_post,null_mean,p_value
法子,0.210119,0.036651,0.141926,0.280076,100,5.732937,94,993,1,12,-0.008216,0.009901
湖北,0.201891,0.040590,0.132242,0.275751,100,4.973919,13,413,0,6,-0.002308,0.009901
广东,0.199603,0.041332,0.133269,0.287494,100,4.829236,95,939,1,8,0.003746,0.009901
黄胖,0.198711,0.040002,0.132202,0.266604,100,4.967488,11,266,0,8,-0.001695,0.009901
官兵,0.194933,0.038708,0.129472,0.263958,100,5.036015,396,966,4,7,0.006416,0.009901
设法,0.194031,0.035526,0.121496,0.258303,100,5.461609,250,830,0,5,0.000457,0.009901
周老爷,0.192892,0.037698,0.118258,0.262962,100,5.116720,8,310,0,12,0.001632,0.009901
道台,0.186876,0.041522,0.096242,0.260171,100,4.500622,19,818,0,15,0.000163,0.009901
数目,0.183389,0.042434,0.100608,0.257856,100,4.321744,143,267,1,5,-0.002504,0.009901
办理,0.182688,0.037776,0.118342,0.260325,100,4.836022,169,647,1,10,0.004899,0.009901
抚台,0.180358,0.037490,0.109938,0.260052,100,4.810857,94,1379,3,27,0.004828,0.009901
中堂,0.178931,0.035740,0.114520,0.242778,100,5.006505,166,916,1,11,0.000633,0.009901
乱子,0.176053,0.041354,0.096072,0.250787,100,4.257252,10,287,0,6,-0.010282,0.019802
中丞,0.173176,0.041011,0.094154,0.242416,100,4.222703,5,557,0,6,-0.004055,0.009901
外国人,0.171829,0.035543,0.102664,0.243483,100,4.834398,9,1012,0,15,0.005853,0.009901
朋友,0.170251,0.040938,0.088267,0.250354,100,4.158771,1280,2831,15,18,0.000617,0.009901
姨太太,0.169980,0.038465,0.097688,0.240497,100,4.419045,106,1034,1,20,0.000228,0.009901
老哥,0.169376,0.041497,0.098454,0.251749,100,4.081633,130,646,0,5,0.002170,0.009901
情形,0.169173,0.036246,0.102170,0.236340,100,4.667349,157,1541,1,28,-0.001742,0.009901
王爷,0.168602,0.036163,0.094086,0.240269,100,4.662325,423,1519,6,23,-0.002195,0.009901
知己,0.167105,0.039103,0.101068,0.239043,100,4.273505,209,432,5,7,-0.008736,0.009901
公馆,0.166286,0.040048,0.086722,0.243521,100,4.152173,284,1506,5,13,-0.005142,0.009901
问问,0.165392,0.037734,0.099257,0.233370,100,4.383094,156,407,5,6,-0.004460,0.009901
心想,0.162713,0.038341,0.094920,0.240400,100,4.243849,99,533,1,9,-0.002753,0.019802
意思,0.162344,0.041350,0.074182,0.239357,100,3.926114,815,1996,18,37,-0.008821,0.009901
动手,0.156835,0.047017,0.077023,0.247481,100,3.335678,626,1314,8,14,0.005299,0.029703
外洋,0.156701,0.035004,0.086692,0.219280,100,4.476686,21,171,0,5,0.010538,0.009901
委员,0.155977,0.044438,0.079656,0.239457,100,3.509978,14,607,0,8,-0.010680,0.009901
仇人,0.152884,0.040569,0.077846,0.243406,100,3.768456,142,205,1,10,0.000588,0.009901
钦差,0.152783,0.036850,0.075274,0.215126,100,4.146111,376,1392,4,9,0.007616,0.019802
前任,0.150490,0.042702,0.065410,0.229934,100,3.524185,37,271,0,5,0.000684,0.019802
巴结,0.148133,0.037269,0.070502,0.220265,100,3.974646,19,411,1,10,0.011971,0.019802
