word,mean_change,std_change,ci_low,ci_high,n_trials,z_score,count_pre,count_post,cooc_pre,cooc_post,null_mean,p_value
大婶,0.273732,0.040761,0.195527,0.349340,100,6.715518,6,518,0,11,-0.004124,0.009901
翻腾,0.265949,0.038074,0.203608,0.343990,100,6.985003,26,218,5,88,-0.007805,0.009901
动员,0.251595,0.035363,0.191865,0.318642,100,7.114550,24,603,0,9,-0.004803,0.009901
大伯,0.247436,0.038791,0.172790,0.327746,100,6.378725,79,787,0,20,-0.006827,0.009901
干部,0.245222,0.039319,0.176031,0.320180,100,6.236734,63,3152,0,46,-0.007997,0.009901
参军,0.244420,0.038196,0.170331,0.309210,100,6.399091,24,441,0,7,-0.009497,0.009901
民兵,0.244202,0.039810,0.170275,0.311602,100,6.134263,13,2985,0,37,-0.010324,0.009901
指导员,0.243519,0.044494,0.158581,0.332373,100,5.473142,19,638,0,8,-0.005840,0.009901
贫农,0.238757,0.039519,0.163186,0.317440,100,6.041568,41,339,0,5,-0.003078,0.009901
支部书记,0.235742,0.032611,0.175147,0.294427,100,7.228864,7,384,0,18,-0.004623,0.009901
热乎乎,0.226842,0.034424,0.166174,0.284327,100,6.589622,5,73,1,28,0.004063,0.009901
入党,0.225020,0.038979,0.156281,0.302027,100,5.772915,16,331,1,7,-0.000538,0.009901
区长,0.220369,0.035865,0.142050,0.281838,100,6.144344,28,527,0,6,-0.014547,0.009901
多少年来,0.219996,0.040589,0.142013,0.300303,100,5.420134,5,64,0,5,-0.000587,0.009901
准得,0.219124,0.039265,0.149422,0.303102,100,5.580723,21,135,0,6,-0.004893,0.009901
为啥,0.217146,0.038878,0.149214,0.297609,100,5.585381,77,1060,0,19,-0.002425,0.009901
声地,0.216619,0.036502,0.149602,0.282002,100,5.934502,45,468,0,10,-0.009846,0.009901
劲头儿,0.216525,0.038575,0.145674,0.290740,100,5.613100,6,89,1,5,-0.004831,0.009901
大队长,0.215753,0.042043,0.135322,0.282841,100,5.131783,11,531,0,10,-0.015914,0.009901
据点,0.215470,0.038426,0.149345,0.292115,100,5.607372,17,1030,0,11,-0.011346,0.009901
看样子,0.215182,0.034414,0.152398,0.287615,100,6.252665,67,621,2,14,-0.002625,0.009901
老大娘,0.213995,0.040174,0.136389,0.286452,100,5.326714,19,427,2,9,-0.006087,0.009901
队长,0.212836,0.038727,0.136417,0.291908,100,5.495783,346,2839,1,35,-0.006528,0.009901
伪军,0.212663,0.031593,0.155952,0.279049,100,6.731390,23,2556,0,34,-0.007450,0.009901
热火,0.211207,0.036650,0.147457,0.294269,100,5.762867,9,48,0,11,0.000399,0.009901
班长,0.210193,0.037398,0.142179,0.275096,100,5.620372,27,679,0,13,-0.007799,0.009901
小李,0.209745,0.035612,0.142414,0.287741,100,5.889757,7,222,0,8,-0.011664,0.009901
游击队,0.209414,0.041644,0.137579,0.294312,100,5.028730,28,1015,0,11,-0.016357,0.009901
上级,0.209090,0.039079,0.135519,0.279300,100,5.350402,38,983,0,18,0.001935,0.009901
草棚,0.208469,0.038315,0.129686,0.268656,100,5.440960,76,629,0,7,-0.004397,0.009901
钢笔,0.207718,0.041288,0.141027,0.284510,100,5.030919,41,181,0,6,-0.008457,0.009901
长春,0.206337,0.035699,0.136837,0.268868,100,5.779984,24,3131,0,121,0.002580,0.009901
劲头,0.205603,0.039493,0.122190,0.275810,100,5.206067,17,353,0,16,0.001463,0.009901
憋气,0.205182,0.037907,0.133904,0.273229,100,5.412777,6,46,0,6,0.004288,0.009901
庄稼人,0.204896,0.039439,0.129702,0.282164,100,5.195264,48,1156,1,31,0.003451,0.009901
延安,0.204199,0.038318,0.114707,0.271289,100,5.329089,21,433,0,7,0.000724,0.009901
担架,0.203987,0.036766,0.133237,0.269028,100,5.548319,19,271,0,6,-0.005012,0.009901
大叔,0.203230,0.038288,0.136806,0.277871,100,5.307974,131,982,1,20,-0.003606,0.009901
开会,0.203191,0.039664,0.129437,0.267090,100,5.122845,241,1659,2,19,-0.011437,0.009901
富农,0.202701,0.034442,0.137055,0.263084,100,5.885256,15,402,0,11,-0.007229,0.009901
群众,0.201059,0.037682,0.132182,0.278238,100,5.335651,296,3225,3,49,0.003023,0.009901
共产党,0.200856,0.036154,0.139416,0.268985,100,5.555557,153,2739,2,43,-0.004598,0.009901
铁匠,0.200606,0.044585,0.105925,0.271050,100,4.499386,16,304,0,6,-0.003730,0.009901
千头万绪,0.200513,0.040790,0.122405,0.284801,100,4.915752,5,25,3,10,-0.003926,0.009901
怒火,0.199979,0.037562,0.135891,0.266591,100,5.323976,52,292,8,99,0.001472,0.009901
腾地,0.199814,0.039671,0.121226,0.274981,100,5.036736,5,74,0,10,-0.012129,0.009901
啥时候,0.199271,0.041904,0.117859,0.270073,100,4.755426,10,114,0,6,-0.008417,0.009901
会上,0.199185,0.037983,0.125800,0.263522,100,5.244092,73,666,1,13,-0.001307,0.009901
许许多多,0.198620,0.038477,0.126094,0.278683,100,5.162103,41,134,1,7,0.004327,0.009901
老四,0.197503,0.036304,0.135324,0.268143,100,5.440252,108,777,0,19,-0.003601,0.009901
炕上,0.197151,0.034722,0.139836,0.260611,100,5.677992,251,1217,2,22,-0.001939,0.009901
坏蛋,0.197107,0.040713,0.117172,0.273521,100,4.841371,32,265,1,6,-0.014751,0.009901
老周,0.196787,0.039811,0.122799,0.271420,100,4.943050,16,462,0,7,-0.006872,0.009901
共产党员,0.196514,0.040762,0.110548,0.276225,100,4.820960,8,695,0,17,-0.003818,0.009901
毛主席,0.194887,0.044816,0.106866,0.280723,100,4.348580,11,981,0,20,0.005802,0.009901
重点,0.194524,0.037355,0.123147,0.266482,100,5.207362,8,236,0,5,-0.003296,0.019802
火苗,0.194065,0.038152,0.128683,0.265020,100,5.086657,27,126,3,14,-0.002909,0.009901
同志,0.193016,0.037436,0.115578,0.274838,100,5.155929,1276,7933,2,135,-0.011091,0.009901
泪花,0.192897,0.034457,0.139910,0.255211,100,5.598234,5,101,0,43,-0.006173,0.009901
战士,0.192833,0.041400,0.122640,0.268157,100,4.657813,111,4629,3,94,0.000332,0.009901
压不住,0.192787,0.037698,0.113832,0.273863,100,5.113991,16,48,1,11,-0.003585,0.009901
褂子,0.192368,0.039042,0.122885,0.259738,100,4.927159,96,274,2,7,-0.010886,0.009901
