word,mean_change,std_change,ci_low,ci_high,n_trials,z_score,count_pre,count_post,cooc_pre,cooc_post,null_mean,p_value
狐疑,0.177186,0.040713,0.094119,0.260198,100,4.352031,16,73,3,16,-0.003359,0.019802
冒犯,0.174780,0.035978,0.107821,0.238318,100,4.857944,14,40,1,5,-0.002193,0.009901
皇上,0.172184,0.036212,0.100030,0.245492,100,4.754823,34,2802,0,66,-0.000497,0.009901
竟然,0.169044,0.039098,0.090948,0.242029,100,4.323633,252,1446,7,48,-0.001027,0.009901
鄙夷,0.165997,0.032759,0.106065,0.229775,100,5.067197,21,83,0,5,0.000592,0.009901
参与,0.162790,0.034766,0.099144,0.222636,100,4.682403,27,226,0,5,0.006258,0.019802
最终,0.160923,0.036410,0.090418,0.231865,100,4.419746,20,558,0,7,0.004239,0.009901
九爷,0.160416,0.038554,0.091659,0.238137,100,4.160797,12,169,0,6,-0.002747,0.009901
愧疚,0.159992,0.035297,0.089677,0.224853,100,4.532786,6,62,1,15,0.005052,0.009901
恐惧,0.154274,0.039746,0.080736,0.223767,100,3.881455,153,405,21,47,0.005420,0.019802
亢奋,0.152399,0.034049,0.090906,0.215029,100,4.475921,6,78,0,6,0.008316,0.019802
混沌,0.147869,0.039706,0.068816,0.221333,100,3.724141,11,57,2,5,0.005852,0.019802
支撑,0.146613,0.033427,0.085674,0.209747,100,4.386081,70,186,2,5,0.004715,0.009901
依然,0.145850,0.038907,0.084294,0.226472,100,3.748691,287,1068,8,47,0.001846,0.029703
原本,0.145191,0.039706,0.072591,0.225092,100,3.656614,27,312,1,9,0.002020,0.019802
这阵儿,0.143966,0.038573,0.078841,0.220067,100,3.732310,8,83,0,9,0.004601,0.029703
超出,0.142590,0.042389,0.057804,0.214786,100,3.363816,29,81,0,6,-0.003268,0.029703
恍惚,0.141883,0.039239,0.074746,0.226748,100,3.615826,45,153,4,7,0.008213,0.019802
其实,0.140729,0.042385,0.057680,0.211499,100,3.320272,884,3262,34,159,0.011227,0.029703
所有人,0.140413,0.036146,0.073196,0.212430,100,3.884622,43,328,1,6,-0.000329,0.019802
灵魂,0.139207,0.037906,0.053993,0.207613,100,3.672373,90,605,4,7,0.004952,0.029703
升上,0.138877,0.038326,0.055749,0.214230,100,3.623608,18,50,2,7,-0.000459,0.019802
死亡,0.137644,0.039712,0.055516,0.205102,100,3.466043,154,392,3,12,-0.000612,0.029703
谴责,0.137189,0.038423,0.065393,0.210171,100,3.570535,22,86,2,9,0.003453,0.029703
奴才,0.135669,0.036687,0.068718,0.208958,100,3.697989,33,647,0,12,-0.000867,0.009901
茫然,0.133320,0.041914,0.052689,0.214089,100,3.180812,116,258,4,15,0.001331,0.039604
看似,0.132933,0.035228,0.062895,0.201019,100,3.773510,9,126,0,5,-0.000044,0.019802
忧伤,0.130430,0.039039,0.059625,0.208955,100,3.341044,20,124,1,15,0.005604,0.019802
当年,0.129954,0.038265,0.065448,0.206021,100,3.396119,294,1486,3,34,0.004987,0.049505
还真,0.129684,0.036373,0.060404,0.197514,100,3.565417,131,769,3,17,0.002460,0.029703
出手,0.129637,0.047004,0.036665,0.218543,100,2.757973,69,200,1,5,-0.003602,0.019802
激情,0.128836,0.037368,0.053210,0.194889,100,3.447741,68,238,13,24,0.008552,0.049505
忐忑,0.128645,0.035298,0.066103,0.207218,100,3.644497,11,54,6,27,0.004138,0.019802
外公,0.127777,0.037496,0.055784,0.197049,100,3.407745,10,1358,0,33,0.004814,0.019802
即便,0.127306,0.039751,0.051077,0.201447,100,3.202590,132,370,1,16,0.001233,0.019802
舞台,0.127213,0.038862,0.055953,0.199426,100,3.273453,84,444,0,6,-0.005305,0.029703
清高,0.126997,0.040902,0.040604,0.205620,100,3.104913,10,68,0,5,0.000961,0.019802
大臣,0.126968,0.039483,0.056358,0.195350,100,3.215723,10,207,0,5,-0.004695,0.019802
离去,0.126644,0.043636,0.047240,0.225042,100,2.902289,61,266,1,11,-0.007138,0.049505
厌恶,0.125619,0.034025,0.066148,0.188517,100,3.691970,127,229,12,31,0.000891,0.029703
某些,0.125154,0.031697,0.064396,0.188769,100,3.948449,121,341,2,7,0.005782,0.079208
咯噔,0.124909,0.034606,0.066910,0.186816,100,3.609461,13,59,1,35,-0.000672,0.019802
厨师,0.124367,0.037841,0.060713,0.196095,100,3.286540,10,164,0,5,-0.006231,0.009901
反应,0.124097,0.036794,0.050206,0.189042,100,3.372749,155,482,5,17,0.003099,0.029703
思维,0.123544,0.036419,0.065858,0.185737,100,3.392254,21,175,0,8,0.003130,0.039604
再次,0.123279,0.037872,0.053143,0.201430,100,3.255100,153,567,2,12,-0.003734,0.019802
邪恶,0.121264,0.035775,0.052034,0.191597,100,3.389612,8,72,1,5,0.003140,0.049505
上班,0.121192,0.038318,0.047953,0.199520,100,3.162802,123,619,0,10,0.003378,0.029703
相比,0.119801,0.036648,0.054413,0.181477,100,3.268931,48,245,2,6,-0.001726,0.039604
安宁,0.119421,0.035334,0.062664,0.184139,100,3.379796,40,178,1,18,0.002201,0.039604
莫名,0.119301,0.033933,0.067417,0.195690,100,3.515836,6,95,1,19,0.003495,0.039604
万岁,0.118435,0.042838,0.041540,0.200266,100,2.764723,57,367,0,6,-0.005753,0.019802
说到底,0.117952,0.037774,0.051503,0.194484,100,3.122586,12,154,0,7,0.006520,0.029703
体验,0.117750,0.038037,0.044767,0.190945,100,3.095665,49,243,1,6,0.000267,0.069307
世人,0.117268,0.036351,0.053490,0.195543,100,3.225954,13,84,0,6,-0.002337,0.029703
翻江倒海,0.116577,0.036966,0.050370,0.200073,100,3.153611,5,20,1,6,0.004014,0.039604
魔鬼,0.115240,0.039649,0.040188,0.182713,100,2.906541,78,120,2,6,-0.003542,0.029703
女孩,0.114524,0.039297,0.037331,0.179596,100,2.914304,58,539,0,12,-0.002341,0.019802
意境,0.113981,0.036621,0.045271,0.186732,100,3.112458,6,67,0,5,0.003812,0.079208
自卑,0.113656,0.034378,0.058192,0.176825,100,3.306035,13,88,1,11,0.004361,0.039604
完美,0.113263,0.039043,0.043542,0.189896,100,2.900987,13,92,0,5,0.012707,0.069307
隐秘,0.113060,0.041406,0.035832,0.182508,100,2.730535,18,111,4,14,0.005225,0.069307
震惊,0.112570,0.038438,0.028810,0.178895,100,2.928645,66,212,4,10,-0.003405,0.029703
袒露,0.112382,0.037035,0.037709,0.172711,100,3.034492,5,38,0,5,0.001563,0.059406
霍然,0.111834,0.036619,0.045828,0.183587,100,3.053961,14,20,3,5,0.000718,0.039604
按摩,0.110821,0.043161,0.021190,0.189774,100,2.567610,14,131,1,5,0.008318,0.059406
发虚,0.110709,0.032857,0.049475,0.172649,100,3.369371,5,20,4,13,0.003763,0.039604
抽搐,0.110149,0.035366,0.039037,0.177649,100,3.114527,50,121,4,7,0.007405,0.059406
陈独秀,0.110112,0.038722,0.043112,0.185390,100,2.843643,8,1190,0,23,0.003071,0.069307
项目,0.109992,0.040744,0.039491,0.186390,100,2.699616,21,444,0,10,0.004211,0.059406
一模一样,0.109988,0.038792,0.038224,0.177756,100,2.835308,79,161,0,5,0.001260,0.039604
索性,0.109847,0.042922,0.032500,0.177822,100,2.559213,144,320,4,5,-0.000944,0.029703
随之,0.109800,0.033680,0.050698,0.179253,100,3.260145,15,243,0,9,-0.004136,0.069307
描述,0.109595,0.036801,0.040296,0.174813,100,2.978078,35,183,0,9,0.000101,0.099010
艺术家,0.109438,0.037137,0.038164,0.174356,100,2.946869,30,170,0,5,-0.000054,0.039604
世上,0.109429,0.042330,0.026463,0.179482,100,2.585144,100,372,0,10,0.000798,0.039604
大师,0.109169,0.043488,0.026406,0.184318,100,2.510351,14,157,0,5,-0.001701,0.039604
各自,0.109128,0.042108,0.018388,0.183093,100,2.591652,271,494,6,21,0.001420,0.049505
城市,0.108702,0.038202,0.028496,0.185433,100,2.845459,298,1351,1,13,0.000396,0.049505
哪怕,0.108448,0.038010,0.032439,0.184529,100,2.853161,229,511,10,9,0.005127,0.069307
橱窗,0.108435,0.034783,0.043036,0.171970,100,3.117453,13,90,2,6,-0.001467,0.049505
有种,0.107544,0.042550,0.026602,0.196961,100,2.527482,65,232,5,19,0.006487,0.059406
迟早,0.107485,0.042229,0.028522,0.175441,100,2.545286,76,126,0,6,0.001012,0.059406
雷霆,0.107483,0.039570,0.035870,0.173885,100,2.716291,10,349,0,8,0.004935,0.069307
慌慌,0.107171,0.036633,0.034517,0.164876,100,2.925494,16,61,5,11,-0.000366,0.049505
快意,0.107046,0.036823,0.036559,0.165956,100,2.907046,21,42,2,9,0.007242,0.039604
轰然,0.106752,0.034907,0.037726,0.175129,100,3.058162,17,57,0,6,0.000189,0.049505
原始,0.106620,0.038878,0.017193,0.165041,100,2.742427,14,188,0,7,0.008668,0.089109
