word,mean_change,std_change,ci_low,ci_high,n_trials,z_score
要是,0.018970,0.065518,-0.123246,0.138475,100,0.289546
一下子,0.018957,0.061250,-0.109474,0.139581,100,0.309497
认得,0.018518,0.059300,-0.090009,0.129089,100,0.312275
找到,0.017329,0.058013,-0.091284,0.129524,100,0.298712
一辈子,0.016940,0.064232,-0.109482,0.127293,100,0.263729
早就,0.015724,0.055920,-0.085724,0.123900,100,0.281189
要说,0.015705,0.062632,-0.100902,0.123362,100,0.250743
一大半,0.015347,0.061305,-0.080586,0.149418,100,0.250340
差不多,0.015271,0.055598,-0.105036,0.124991,100,0.274667
剩下,0.015263,0.055803,-0.101705,0.116513,100,0.273514
放不下,0.014749,0.058694,-0.087301,0.120089,100,0.251285
这一下,0.014713,0.063306,-0.081686,0.131926,100,0.232408
万把,0.014632,0.055161,-0.076656,0.140455,100,0.265256
不要紧,0.014385,0.064520,-0.105451,0.137680,100,0.222958
手心,0.014212,0.059216,-0.112785,0.118089,100,0.240008
旅馆,0.014161,0.059375,-0.085493,0.138482,100,0.238505
一句,0.013955,0.060921,-0.126323,0.121851,100,0.229062
喝酒,0.013885,0.061257,-0.118624,0.116121,100,0.226675
眼前,0.013884,0.057884,-0.100363,0.123846,100,0.239867
害怕,0.013726,0.059608,-0.105642,0.130166,100,0.230278
一句话,0.013665,0.057175,-0.089553,0.122518,100,0.238996
两天,0.013393,0.061588,-0.099197,0.124313,100,0.217459
冤枉,0.013366,0.051893,-0.082543,0.108562,100,0.257571
睡不着,0.013286,0.059655,-0.104685,0.109285,100,0.222707
脑袋,0.013138,0.062495,-0.096235,0.139753,100,0.210230
望望,0.013137,0.063652,-0.126963,0.138400,100,0.206384
弟弟,0.013111,0.055806,-0.075864,0.130952,100,0.234946
下午,0.013054,0.056911,-0.094343,0.120396,100,0.229378
想不起,0.013033,0.055018,-0.093444,0.106773,100,0.236889
镇上,0.012901,0.065256,-0.102127,0.132076,100,0.197704
办法,0.012887,0.062465,-0.132278,0.122263,100,0.206311
晚上,0.012741,0.058887,-0.085533,0.114881,100,0.216369
了不得,0.012730,0.058287,-0.087420,0.128084,100,0.218399
回来,0.012587,0.055031,-0.100620,0.106515,100,0.228732
这样一来,0.012555,0.057933,-0.095074,0.126520,100,0.216712
没有,0.012467,0.064168,-0.119035,0.125221,100,0.194280
别的,0.012441,0.064456,-0.104543,0.123576,100,0.193015
钻进,0.012394,0.058921,-0.087592,0.115334,100,0.210355
明天,0.012366,0.064386,-0.134301,0.132224,100,0.192066
烧得,0.012351,0.058232,-0.094753,0.133822,100,0.212090
轻松,0.012287,0.058884,-0.105503,0.124118,100,0.208664
没出,0.012244,0.055684,-0.091958,0.115842,100,0.219881
高兴,0.012194,0.056885,-0.094382,0.114500,100,0.214357
拿到,0.012188,0.058604,-0.106582,0.116744,100,0.207973
红红的,0.012172,0.062215,-0.093352,0.125809,100,0.195651
担心,0.012037,0.054651,-0.085136,0.110579,100,0.220249
好多,0.012006,0.063984,-0.106418,0.124986,100,0.187644
索性,0.011996,0.064162,-0.096424,0.130944,100,0.186969
家里,0.011992,0.052952,-0.098314,0.113462,100,0.226471
纸包,0.011918,0.062283,-0.100688,0.129420,100,0.191353
窝儿,0.011908,0.062420,-0.095850,0.136117,100,0.190770
箱子,0.011852,0.061441,-0.097517,0.120337,100,0.192895
胡同,0.011834,0.055004,-0.089338,0.125407,100,0.215150
这样的话,0.011787,0.052177,-0.079138,0.105059,100,0.225900
儿子,0.011621,0.059073,-0.106392,0.110333,100,0.196722
三天,0.011525,0.064980,-0.132799,0.124819,100,0.177358
热烘烘,0.011497,0.054426,-0.079309,0.120630,100,0.211248
再来,0.011489,0.062029,-0.128378,0.115501,100,0.185217
疙瘩,0.011398,0.056936,-0.081184,0.129278,100,0.200182
不了,0.011331,0.061898,-0.144254,0.101803,100,0.183058
刚才,0.011281,0.056349,-0.080641,0.112290,100,0.200195
交给,0.011275,0.055876,-0.097035,0.116046,100,0.201779
有事,0.011254,0.062345,-0.098783,0.130289,100,0.180515
没人,0.011215,0.053385,-0.084697,0.107287,100,0.210075
两声,0.011129,0.054904,-0.094793,0.107311,100,0.202692
嫂子,0.011062,0.053930,-0.082068,0.124064,100,0.205121
老头子,0.011040,0.066938,-0.104473,0.163920,100,0.164935
那时,0.011004,0.056178,-0.099089,0.106671,100,0.195882
不好受,0.011000,0.051468,-0.088484,0.104868,100,0.213717
懒得,0.010970,0.064838,-0.119693,0.130105,100,0.169188
听得见,0.010940,0.054341,-0.082299,0.117581,100,0.201327
放到,0.010904,0.064369,-0.106653,0.129026,100,0.169399
反正,0.010880,0.061157,-0.102747,0.136994,100,0.177903
有没有,0.010873,0.052342,-0.096464,0.110822,100,0.207727
今天,0.010843,0.053360,-0.085398,0.118890,100,0.203200
那天,0.010832,0.060094,-0.107350,0.116062,100,0.180245
放过,0.010828,0.052075,-0.080943,0.105549,100,0.207935
嘴唇,0.010816,0.066474,-0.121870,0.145731,100,0.162716
昨夜,0.010808,0.055511,-0.100683,0.125592,100,0.194705
最好,0.010806,0.063501,-0.111313,0.120243,100,0.170178
鼻子,0.010733,0.061353,-0.129509,0.114544,100,0.174930
见面,0.010674,0.063566,-0.106526,0.111289,100,0.167925
一拳,0.010551,0.065474,-0.113727,0.128813,100,0.161141
不来,0.010545,0.067171,-0.125607,0.129469,100,0.156987
假如,0.010541,0.064122,-0.114686,0.117718,100,0.164395
一眼,0.010500,0.053321,-0.081037,0.103401,100,0.196920
主意,0.010500,0.061829,-0.093120,0.150828,100,0.169817
几天,0.010498,0.056014,-0.113781,0.120941,100,0.187410
哪儿,0.010368,0.053065,-0.088810,0.099091,100,0.195383
胳膊,0.010363,0.057902,-0.108815,0.123564,100,0.178977
那儿,0.010328,0.061838,-0.105724,0.136699,100,0.167014
耳朵,0.010326,0.061315,-0.109546,0.125578,100,0.168404
昨晚,0.010309,0.055091,-0.089353,0.127608,100,0.187124
不用,0.010303,0.058319,-0.098514,0.119230,100,0.176660
觉著,0.010291,0.053913,-0.096502,0.090835,100,0.190885
根本,0.010282,0.059365,-0.091883,0.149624,100,0.173209
装满,0.010282,0.063454,-0.104331,0.133883,100,0.162031
不信,0.010236,0.056571,-0.094996,0.124614,100,0.180948
好久,0.010232,0.050443,-0.098293,0.096024,100,0.202834
不得了,0.010221,0.050875,-0.078972,0.093135,100,0.200912
清清楚楚,0.010220,0.053481,-0.082577,0.121997,100,0.191088
答应,0.010137,0.063084,-0.123805,0.122990,100,0.160695
哥哥,0.010105,0.052874,-0.087488,0.101886,100,0.191119
名字,0.010102,0.057029,-0.099967,0.123168,100,0.177144
一遍,0.010080,0.057882,-0.095992,0.104317,100,0.174139
记着,0.010038,0.053815,-0.087314,0.110464,100,0.186526
一年,0.009987,0.062203,-0.104168,0.135736,100,0.160555
痒痒,0.009978,0.055074,-0.084570,0.118039,100,0.181178
握住,0.009937,0.051993,-0.092492,0.092835,100,0.191114
算是,0.009910,0.066941,-0.105523,0.131133,100,0.148033
生气,0.009907,0.059614,-0.101531,0.111780,100,0.166194
几位,0.009883,0.065969,-0.111160,0.124612,100,0.149808
医院,0.009850,0.054184,-0.092797,0.106730,100,0.181781
怎么办,0.009838,0.070442,-0.124154,0.145656,100,0.139662
见到,0.009834,0.057020,-0.099418,0.114327,100,0.172460
热气,0.009832,0.063371,-0.114640,0.140391,100,0.155149
抿着嘴笑,0.009827,0.061863,-0.103387,0.126234,100,0.158848
担忧,0.009824,0.061970,-0.107697,0.115810,100,0.158522
香味,0.009816,0.060386,-0.092894,0.111596,100,0.162555
相信,0.009804,0.059690,-0.115009,0.129133,100,0.164249
起头,0.009788,0.064683,-0.114353,0.126215,100,0.151326
身边,0.009786,0.051330,-0.080653,0.105768,100,0.190640
前门,0.009777,0.056072,-0.090510,0.106994,100,0.174360
西安,0.009732,0.053102,-0.080424,0.107040,100,0.183268
三三,0.009698,0.063017,-0.121155,0.123308,100,0.153894
再见,0.009675,0.053659,-0.094291,0.096968,100,0.180305
看得见,0.009668,0.054440,-0.105575,0.118056,100,0.177588
明白,0.009641,0.048019,-0.066435,0.109652,100,0.200767
个人,0.009635,0.055607,-0.098918,0.103217,100,0.173271
脾气,0.009633,0.051327,-0.084254,0.106106,100,0.187676
提起,0.009612,0.048896,-0.105669,0.107522,100,0.196575
不管,0.009561,0.065448,-0.109475,0.131047,100,0.146085
记得,0.009542,0.056231,-0.087935,0.122988,100,0.169685
想不到,0.009524,0.056397,-0.096320,0.146370,100,0.168869
今夜,0.009500,0.050095,-0.083535,0.106812,100,0.189634
城里,0.009440,0.059002,-0.092708,0.118892,100,0.159997
衣袋,0.009440,0.056229,-0.095445,0.122723,100,0.167888
干了,0.009439,0.070518,-0.129506,0.154427,100,0.133851
再说,0.009434,0.053122,-0.105823,0.099658,100,0.177584
疑团,0.009429,0.058853,-0.103349,0.122727,100,0.160210
仔细,0.009415,0.054663,-0.102027,0.107279,100,0.172246
两颊,0.009412,0.059395,-0.106695,0.140038,100,0.158466
当真,0.009359,0.060056,-0.087274,0.126822,100,0.155843
他俩,0.009351,0.052831,-0.087246,0.110133,100,0.177000
漂亮,0.009301,0.067254,-0.107212,0.142282,100,0.138298
见过,0.009301,0.054151,-0.091961,0.110330,100,0.171759
口头,0.009289,0.062245,-0.097838,0.117786,100,0.149233
一说,0.009266,0.054933,-0.098166,0.100527,100,0.168681
极了,0.009237,0.058195,-0.095805,0.125717,100,0.158726
年纪,0.009219,0.061646,-0.107182,0.134145,100,0.149541
戒指,0.009194,0.054885,-0.072481,0.138585,100,0.167520
电报,0.009186,0.058112,-0.096496,0.113332,100,0.158073
偷偷,0.009168,0.063452,-0.116379,0.109118,100,0.144493
一气,0.009143,0.061376,-0.105659,0.113578,100,0.148965
妹妹,0.009133,0.063219,-0.106814,0.126880,100,0.144470
房子,0.009107,0.061681,-0.117758,0.106244,100,0.147649
做梦,0.009083,0.050135,-0.087425,0.105404,100,0.181179
以前,0.009042,0.064051,-0.125049,0.122483,100,0.141163
难受,0.009041,0.056556,-0.110497,0.101026,100,0.159860
三分,0.009030,0.059583,-0.095697,0.117763,100,0.151555
说什么,0.009020,0.066218,-0.097875,0.154092,100,0.136221
声说,0.009019,0.058142,-0.100992,0.116125,100,0.155119
暖和,0.008977,0.065117,-0.111946,0.137794,100,0.137860
考虑,0.008962,0.067178,-0.106993,0.123827,100,0.133408
告诉,0.008957,0.060558,-0.098630,0.120398,100,0.147909
不乐意,0.008951,0.062727,-0.107240,0.130423,100,0.142689
一看,0.008949,0.058702,-0.088496,0.138834,100,0.152448
冰凉,0.008925,0.055006,-0.098848,0.094465,100,0.162261
安全,0.008925,0.051366,-0.098787,0.095322,100,0.173753
看不见,0.008910,0.055745,-0.089552,0.109398,100,0.159828
逃走,0.008905,0.061416,-0.124305,0.125768,100,0.145001
过去,0.008878,0.058544,-0.113177,0.120269,100,0.151649
可是,0.008876,0.068359,-0.109949,0.119386,100,0.129847
接到,0.008873,0.063592,-0.097419,0.141088,100,0.139528
脸红,0.008868,0.059416,-0.097682,0.107235,100,0.149246
来信,0.008848,0.048345,-0.078698,0.092389,100,0.183021
手掌,0.008847,0.062868,-0.106212,0.127995,100,0.140720
问题,0.008815,0.062811,-0.105576,0.134829,100,0.140346
朋友,0.008812,0.057733,-0.095795,0.111771,100,0.152632
这儿,0.008792,0.050752,-0.081493,0.090709,100,0.173241
面子,0.008769,0.065352,-0.110212,0.115474,100,0.134187
快活,0.008759,0.057414,-0.093110,0.108495,100,0.152552
走近,0.008751,0.054511,-0.089245,0.116552,100,0.160535
不自在,0.008700,0.054799,-0.087405,0.108778,100,0.158761
这事,0.008698,0.060263,-0.116571,0.130670,100,0.144333
算计,0.008685,0.056487,-0.095156,0.129056,100,0.153750
苏州,0.008684,0.057027,-0.108553,0.133124,100,0.152283
车上,0.008678,0.066413,-0.119302,0.137644,100,0.130673
