word,mean_change,std_change,ci_low,ci_high,n_trials,z_score
外国人,0.088268,0.052190,0.040861,0.155291,4,1.691286
眉目,0.081744,0.073913,-0.011623,0.152032,4,1.105944
好气,0.076612,0.064093,0.005569,0.148338,4,1.195327
宝玉,0.076182,0.068506,-0.006733,0.138817,4,1.112051
纳罕,0.076009,0.022816,0.045792,0.094237,4,3.331407
外国,0.075847,0.063099,0.018475,0.139485,4,1.202026
合式,0.072324,0.035314,0.033654,0.110546,4,2.048037
胡涂,0.069885,0.045970,0.009344,0.105990,4,1.520228
衣服,0.069536,0.015645,0.053510,0.088693,4,4.444551
女子,0.064947,0.055656,0.001123,0.111081,4,1.166935
何曾,0.064881,0.047268,0.014095,0.119688,4,1.372635
相貌,0.062753,0.095355,-0.064901,0.126279,4,0.658094
丫头,0.062225,0.023343,0.033128,0.085043,4,2.665741
甘棠,0.062133,0.026183,0.039099,0.093359,4,2.373028
面孔,0.061438,0.061067,-0.003135,0.129678,4,1.006076
张夫人,0.059115,0.068831,0.005349,0.150482,4,0.858844
伤心,0.058623,0.046834,-0.002290,0.098866,4,1.251719
美女,0.057489,0.061996,0.001700,0.133051,4,0.927308
妻子,0.056972,0.055940,0.013079,0.131124,4,1.018451
原故,0.056363,0.034985,0.011640,0.088633,4,1.611059
闲话,0.056198,0.059290,0.007235,0.132781,4,0.947857
巴结,0.055675,0.072036,-0.039399,0.113590,4,0.772873
问道,0.055486,0.051775,-0.004459,0.102809,4,1.071681
妇人,0.055348,0.077411,-0.036961,0.137912,4,0.714989
脾气,0.054458,0.042525,0.021936,0.111124,4,1.280630
称奇,0.053808,0.055082,-0.016082,0.106171,4,0.976872
太太,0.053508,0.043077,0.010905,0.106949,4,1.242158
小红,0.053349,0.021460,0.024887,0.070276,4,2.485913
风流,0.052741,0.057754,-0.000436,0.126732,4,0.913199
生气,0.052595,0.052700,-0.010315,0.108825,4,0.998007
面子,0.052015,0.078394,-0.054003,0.092984,4,0.663510
子来,0.051896,0.038811,0.004847,0.083092,4,1.337137
大家,0.051596,0.027213,0.028062,0.087099,4,1.895963
理会,0.050554,0.091919,-0.049973,0.151749,4,0.549990
大事,0.050193,0.065833,-0.038582,0.093546,4,0.762439
上司,0.049872,0.038471,0.022434,0.101317,4,1.296365
妹子,0.049774,0.049879,0.015870,0.116888,4,0.997889
模样,0.048949,0.060614,-0.012053,0.122931,4,0.807555
样儿,0.048670,0.036479,0.010843,0.091008,4,1.334188
国家,0.046944,0.078285,-0.030136,0.123268,4,0.599660
中国,0.046775,0.080942,-0.033221,0.124217,4,0.577878
外洋,0.046696,0.076050,-0.045996,0.118878,4,0.614023
东西,0.046644,0.015366,0.028356,0.061059,4,3.035456
姨太太,0.046570,0.030519,0.019068,0.078149,4,1.525917
娘儿,0.045694,0.039790,0.000040,0.089660,4,1.148379
议论,0.045272,0.059671,-0.022714,0.112270,4,0.758689
伤感,0.045173,0.058762,0.007163,0.124513,4,0.768751
宁王,0.044756,0.050578,-0.018071,0.085437,4,0.884907
公婆,0.044590,0.048510,-0.013268,0.085049,4,0.919185
真情,0.044501,0.055340,-0.027604,0.091147,4,0.804141
方才,0.044235,0.045506,0.011436,0.104479,4,0.972076
黄胖,0.043198,0.021201,0.022661,0.065017,4,2.037546
彩云,0.042879,0.059972,-0.015234,0.110616,4,0.714986
洪道,0.042502,0.054474,-0.017853,0.105489,4,0.780226
众人,0.042289,0.023779,0.019782,0.062890,4,1.778399
将军,0.042247,0.040342,0.004820,0.093793,4,1.047233
男子,0.042106,0.044697,-0.008869,0.090868,4,0.942026
实是,0.040938,0.046856,-0.006854,0.095447,4,0.873697
小妹,0.040845,0.011608,0.025262,0.048738,4,3.518595
儿女,0.040828,0.040172,0.001325,0.077521,4,1.016308
性情,0.040803,0.058611,-0.027151,0.103911,4,0.696175
学问,0.040799,0.066423,-0.028347,0.119373,4,0.614240
强盗,0.040749,0.040176,-0.013378,0.067662,4,1.014267
刘大,0.040706,0.018093,0.024650,0.064101,4,2.249770
无法,0.040551,0.039339,-0.011081,0.073636,4,1.030808
母亲,0.040352,0.060513,-0.022072,0.093535,4,0.666838
饮食,0.040156,0.026142,0.012852,0.071885,4,1.536068
中堂,0.040030,0.024271,0.014124,0.068838,4,1.649302
太后,0.039542,0.062716,-0.017452,0.120223,4,0.630494
夏禹,0.039296,0.049619,-0.027768,0.070231,4,0.791957
做官,0.039161,0.095223,-0.066147,0.134443,4,0.411253
马氏,0.039091,0.032080,0.001172,0.070689,4,1.218521
中丞,0.038787,0.007352,0.031020,0.046156,4,5.275607
言语,0.037948,0.052996,-0.009950,0.105119,4,0.716061
情形,0.037725,0.043908,-0.015100,0.083677,4,0.859180
鬼胎,0.037424,0.009130,0.027703,0.048368,4,4.098995
姊姊,0.037295,0.043077,-0.006911,0.088540,4,0.865765
不语,0.036901,0.079109,-0.042269,0.134997,4,0.466458
师父,0.036636,0.082777,-0.046045,0.129997,4,0.442579
金凤,0.036536,0.014758,0.019400,0.051647,4,2.475689
尚书,0.036333,0.017614,0.015878,0.054972,4,2.062667
老者,0.036107,0.066746,-0.038609,0.112913,4,0.540952
益发,0.036085,0.062694,-0.020631,0.116823,4,0.575576
父亲,0.035830,0.032889,-0.005028,0.062943,4,1.089426
四爷,0.035556,0.050076,-0.010279,0.093821,4,0.710049
元帅,0.035448,0.038203,-0.016093,0.060458,4,0.927873
美貌,0.035067,0.104286,-0.055908,0.138684,4,0.336258
天庆,0.035042,0.054749,-0.010871,0.105104,4,0.640050
客人,0.034874,0.031104,-0.002117,0.068385,4,1.121198
医生,0.034808,0.013935,0.016301,0.045529,4,2.497804
莫非,0.034620,0.031511,-0.007292,0.058740,4,1.098659
嘴上,0.034486,0.044157,-0.013076,0.073092,4,0.781001
委实,0.034255,0.057206,-0.012652,0.106474,4,0.598802
功名,0.033073,0.047367,-0.029431,0.071574,4,0.698238
样子,0.032958,0.009248,0.020656,0.039583,4,3.563734
知己,0.032737,0.055331,-0.016952,0.098648,4,0.591663
大司农,0.032496,0.019887,0.006238,0.048085,4,1.634050
差官,0.032365,0.020710,0.010962,0.057596,4,1.562789
舅母,0.032187,0.042388,-0.019159,0.072611,4,0.759347
一枝梅,0.032113,0.071875,-0.032686,0.116096,4,0.446789
凤奴,0.032018,0.013883,0.018396,0.046352,4,2.306320
朝廷,0.031779,0.051084,-0.008302,0.095826,4,0.622091
