word,mean_change,std_change,ci_low,ci_high,n_trials,z_score
令人,0.015817,0.059625,-0.096317,0.123945,100,0.265272
语言,0.014226,0.056098,-0.080071,0.120869,100,0.253593
精神,0.013255,0.059996,-0.100812,0.117870,100,0.220933
鲜血,0.012826,0.060879,-0.104073,0.118318,100,0.210687
事业,0.012432,0.056910,-0.082270,0.136804,100,0.218445
情感,0.012280,0.061630,-0.097201,0.111582,100,0.199248
教导,0.012237,0.059575,-0.106677,0.112838,100,0.205406
饥饿,0.012128,0.055102,-0.089060,0.124840,100,0.220107
智慧,0.011884,0.055859,-0.081690,0.128356,100,0.212747
神气,0.011808,0.053571,-0.083422,0.126656,100,0.220420
担子,0.010973,0.061811,-0.094359,0.148343,100,0.177522
有点,0.010840,0.057740,-0.096116,0.138518,100,0.187747
中国,0.010707,0.053759,-0.109591,0.112471,100,0.199162
道路,0.010631,0.062638,-0.111833,0.149362,100,0.169723
不免有些,0.010595,0.055198,-0.086704,0.117062,100,0.191943
产生,0.010409,0.060683,-0.101256,0.117955,100,0.171522
神态,0.010244,0.061198,-0.098449,0.134554,100,0.167388
血液,0.010192,0.065200,-0.129284,0.130040,100,0.156327
阶级,0.010007,0.058214,-0.100012,0.112603,100,0.171906
光荣,0.009986,0.065707,-0.093596,0.160215,100,0.151972
理想,0.009888,0.067167,-0.106022,0.154102,100,0.147219
大炮,0.009767,0.065293,-0.109902,0.125316,100,0.149585
暗想,0.009719,0.054685,-0.081996,0.111361,100,0.177729
新民,0.009695,0.058464,-0.096774,0.121207,100,0.165831
土地,0.009668,0.068281,-0.112306,0.134249,100,0.141587
舌头,0.009609,0.056786,-0.090504,0.120004,100,0.169212
观念,0.009601,0.061457,-0.095563,0.133867,100,0.156222
真理,0.009438,0.061547,-0.110241,0.145295,100,0.153341
景象,0.009322,0.063920,-0.089646,0.147690,100,0.145837
时刻,0.009253,0.059366,-0.098126,0.111540,100,0.155871
神情,0.009227,0.060029,-0.098287,0.121904,100,0.153708
程度,0.009172,0.057708,-0.099770,0.107169,100,0.158935
思想,0.009159,0.062341,-0.098707,0.133087,100,0.146910
孩子们,0.009049,0.065293,-0.122694,0.128327,100,0.138586
人民,0.009023,0.064616,-0.112723,0.138843,100,0.139640
流泪,0.009002,0.055626,-0.080676,0.120985,100,0.161837
样子,0.008938,0.062960,-0.102211,0.123333,100,0.141960
伤感,0.008838,0.064670,-0.115357,0.133708,100,0.136666
英雄,0.008814,0.053170,-0.092231,0.094838,100,0.165777
地位,0.008789,0.068684,-0.144978,0.137013,100,0.127959
口气,0.008653,0.060255,-0.108760,0.126300,100,0.143601
红旗,0.008586,0.063430,-0.098515,0.114389,100,0.135362
思潮,0.008579,0.058394,-0.110420,0.114805,100,0.146921
钢针,0.008516,0.066480,-0.132256,0.135187,100,0.128103
眼眶,0.008450,0.056652,-0.110476,0.108320,100,0.149158
积压,0.008431,0.055873,-0.085778,0.121163,100,0.150901
烈火,0.008308,0.061568,-0.115743,0.123299,100,0.134944
极力,0.008277,0.058866,-0.097550,0.122111,100,0.140601
深藏,0.008068,0.058081,-0.100961,0.115499,100,0.138908
理论,0.008028,0.055253,-0.087052,0.103302,100,0.145293
社会主义,0.007946,0.061008,-0.097578,0.123198,100,0.130248
年青,0.007823,0.069326,-0.123798,0.126486,100,0.112840
喉咙,0.007820,0.056018,-0.093268,0.109411,100,0.139593
高明,0.007779,0.046146,-0.069058,0.105716,100,0.168585
光辉,0.007769,0.057946,-0.102907,0.114111,100,0.134073
泥土,0.007598,0.068860,-0.140797,0.157691,100,0.110340
热血,0.007579,0.057218,-0.110123,0.114577,100,0.132451
道理,0.007568,0.055166,-0.079871,0.124690,100,0.137187
种子,0.007538,0.058588,-0.116678,0.104875,100,0.128655
有力,0.007509,0.067177,-0.130583,0.112805,100,0.111778
词句,0.007489,0.058752,-0.100470,0.112640,100,0.127474
面容,0.007486,0.066888,-0.102623,0.131147,100,0.111916
王国,0.007459,0.061101,-0.126082,0.113727,100,0.122076
辛酸,0.007346,0.060015,-0.117179,0.114542,100,0.122398
光景,0.007342,0.052886,-0.096366,0.105816,100,0.138826
体会,0.007322,0.068650,-0.114936,0.110638,100,0.106663
话说,0.007268,0.055049,-0.090542,0.109302,100,0.132022
光彩,0.007189,0.061781,-0.099582,0.123597,100,0.116360
动人,0.007188,0.055633,-0.093909,0.109079,100,0.129205
思索,0.007116,0.065423,-0.121838,0.136755,100,0.108772
