word,mean_change,std_change,ci_low,ci_high,n_trials,z_score
证明,0.014096,0.066748,-0.122236,0.122330,100,0.211189
子弹,0.013015,0.070972,-0.126815,0.139199,100,0.183383
脑后,0.011398,0.063188,-0.102765,0.131009,100,0.180377
压根儿,0.010900,0.058538,-0.103085,0.116190,100,0.186209
火烧,0.010671,0.059479,-0.103052,0.141158,100,0.179408
地道,0.010599,0.057012,-0.092209,0.121168,100,0.185902
哥们儿,0.010576,0.063386,-0.128810,0.124930,100,0.166848
电话,0.010515,0.063644,-0.109030,0.130488,100,0.165223
窝火,0.010176,0.064525,-0.132856,0.143557,100,0.157710
骆驼,0.010095,0.065275,-0.123886,0.110176,100,0.154658
老李,0.010034,0.055368,-0.101071,0.107431,100,0.181233
无端,0.009979,0.064167,-0.097486,0.149138,100,0.155516
麻将,0.009860,0.062114,-0.096425,0.127612,100,0.158747
大山,0.009783,0.054950,-0.094151,0.094746,100,0.178039
基本,0.009539,0.065399,-0.111318,0.136927,100,0.145856
小孔,0.009349,0.055905,-0.095682,0.110718,100,0.167234
明镜,0.009156,0.056599,-0.095302,0.111195,100,0.161775
资金,0.009121,0.072506,-0.105819,0.162238,100,0.125803
表姐,0.009033,0.065131,-0.126080,0.126732,100,0.138693
绮云,0.008993,0.062699,-0.121754,0.121399,100,0.143430
敌人,0.008749,0.060437,-0.106705,0.124767,100,0.144759
饭店,0.008745,0.056348,-0.089337,0.111351,100,0.155201
经验,0.008609,0.065919,-0.127983,0.124354,100,0.130604
长发,0.008594,0.062125,-0.108188,0.108555,100,0.138341
土匪,0.008560,0.055021,-0.094886,0.117745,100,0.155571
激情,0.008552,0.073193,-0.141336,0.137459,100,0.116841
喜鹊,0.008528,0.054642,-0.084302,0.115692,100,0.156071
怨气,0.008526,0.063919,-0.112888,0.130847,100,0.133384
波涛,0.008523,0.061608,-0.109861,0.123694,100,0.138335
任凭,0.008465,0.054373,-0.094022,0.106613,100,0.155693
