period,rank,word,mean_similarity,std_similarity,ci_low,ci_high,n_trials,freq_mingqing,freq_late_qing,freq_republican,freq_socialist,freq_contemporary
mingqing,1,废寝忘餐,0.581264,0.028584,0.538209,0.622156,10,11,4,2,2,0
mingqing,2,悲惨,0.573307,0.030070,0.549993,0.635737,10,15,20,172,104,74
mingqing,3,自语,0.571863,0.034941,0.514384,0.622624,10,10,24,214,108,56
mingqing,4,嘿嘿,0.566012,0.023732,0.536136,0.600526,10,18,12,72,307,251
mingqing,5,坐立不安,0.565605,0.026269,0.523242,0.609850,10,24,37,24,29,46
mingqing,6,惨伤,0.560717,0.020692,0.533936,0.596232,10,14,17,2,1,0
mingqing,7,半信半疑,0.558890,0.028616,0.513079,0.599342,10,24,42,12,58,23
mingqing,8,反添,0.554587,0.034399,0.513023,0.622390,10,14,4,0,0,0
mingqing,9,转思,0.552909,0.020957,0.530317,0.593341,10,11,14,1,0,0
mingqing,10,坐卧不安,0.552017,0.033289,0.499936,0.602003,10,21,10,4,5,9
mingqing,11,那白氏,0.551769,0.042851,0.501369,0.631733,10,12,0,0,0,0
mingqing,12,寝食俱废,0.551672,0.025113,0.522932,0.586345,10,15,5,0,0,0
mingqing,13,精神恍惚,0.551566,0.035030,0.517514,0.612748,10,27,5,3,6,9
mingqing,14,委决不下,0.551462,0.041499,0.494461,0.608275,10,36,12,4,1,3
mingqing,15,虚怯,0.548688,0.036309,0.508994,0.621968,10,13,0,6,4,1
mingqing,16,七上八下,0.547644,0.031883,0.503827,0.606051,10,10,25,18,32,36
mingqing,17,想道,0.546177,0.029058,0.502767,0.584494,10,984,719,134,103,22
mingqing,18,转加,0.546033,0.038547,0.500207,0.614297,10,13,2,0,0,0
mingqing,19,怀着鬼胎,0.542199,0.018316,0.514778,0.569886,10,34,21,7,9,0
mingqing,20,安贴,0.541909,0.034239,0.504949,0.589317,10,10,2,7,0,1
mingqing,21,疑影,0.541771,0.041533,0.478151,0.603025,10,10,2,0,0,0
mingqing,22,疑惑,0.540127,0.033155,0.495032,0.587172,10,551,306,284,152,209
mingqing,23,卞福,0.539183,0.025805,0.507234,0.588149,10,11,0,0,0,0
mingqing,24,醋意,0.538292,0.017188,0.513122,0.565572,10,10,20,7,8,6
mingqing,25,没做理会处,0.537254,0.018957,0.512430,0.564178,10,20,2,1,0,0
mingqing,26,肚内,0.537141,0.040313,0.467107,0.592107,10,39,48,4,1,0
mingqing,27,清减,0.536004,0.026689,0.498481,0.581418,10,10,12,3,0,3
mingqing,28,一肚,0.535566,0.034881,0.485894,0.587720,10,12,9,1,1,0
mingqing,29,终究,0.535526,0.026041,0.498416,0.572647,10,13,188,136,60,179
mingqing,30,面红耳赤,0.535323,0.029905,0.491608,0.589545,10,19,21,23,35,39
mingqing,31,抓耳挠腮,0.534097,0.030622,0.493897,0.588407,10,30,15,3,17,13
mingqing,32,暗恼,0.533025,0.038008,0.491788,0.610231,10,11,1,0,0,0
mingqing,33,不言不语,0.532765,0.042462,0.466724,0.594421,10,31,40,20,30,26
mingqing,34,理短,0.530764,0.027765,0.493194,0.578792,10,10,14,1,9,1
mingqing,35,理亏,0.530303,0.025354,0.490088,0.574401,10,10,6,2,12,14
mingqing,36,动情,0.528910,0.028290,0.492865,0.575661,10,30,10,40,14,61
mingqing,37,由不的,0.528776,0.028063,0.484880,0.563027,10,10,1,0,0,0
mingqing,38,暗叹,0.528748,0.036680,0.478890,0.578643,10,12,5,2,1,6
mingqing,39,未信,0.528215,0.026428,0.490511,0.568142,10,14,0,0,0,0
mingqing,40,心虚,0.527801,0.038167,0.479405,0.591258,10,20,36,39,47,78
mingqing,41,气骨,0.527239,0.033739,0.473188,0.577665,10,11,3,0,0,0
mingqing,42,尴尬,0.527195,0.040528,0.470590,0.584579,10,25,16,25,105,383
mingqing,43,没入脚处,0.526901,0.017280,0.504900,0.560890,10,14,0,0,0,0
mingqing,44,张媚姐,0.526673,0.040353,0.476525,0.599153,10,11,0,0,0,0
mingqing,45,转想,0.526647,0.038784,0.471567,0.591134,10,15,4,1,1,1
mingqing,46,被骗,0.526559,0.035760,0.469350,0.578128,10,12,12,14,4,16
mingqing,47,贾闰娘,0.526431,0.031076,0.474863,0.565726,10,17,0,0,0,0
mingqing,48,愈觉,0.525608,0.030524,0.478947,0.574072,10,71,56,10,0,5
mingqing,49,宗仁,0.525249,0.021991,0.493680,0.560312,10,12,139,0,0,0
mingqing,50,便生,0.525201,0.032400,0.477845,0.569805,10,18,18,3,0,1
mingqing,51,不作声,0.525178,0.034890,0.471323,0.571829,10,21,22,406,41,19
mingqing,52,鬼胎,0.524759,0.033590,0.477817,0.580101,10,20,19,9,12,2
mingqing,53,话不投机,0.524612,0.030833,0.478203,0.578906,10,15,21,4,12,8
mingqing,54,连问,0.523892,0.029738,0.495046,0.580887,10,15,30,15,6,5
mingqing,55,心欢,0.523620,0.019393,0.492637,0.546509,10,11,0,1,0,0
mingqing,56,暴躁如雷,0.523202,0.033637,0.472573,0.579050,10,11,1,1,0,0
mingqing,57,一丝两气,0.522699,0.022122,0.489064,0.548188,10,12,1,0,1,0
mingqing,58,如梦初觉,0.522499,0.032287,0.483908,0.566308,10,18,13,1,0,0
mingqing,59,王庆听,0.522484,0.024657,0.485839,0.559626,10,13,0,0,0,0
mingqing,60,着迷,0.522266,0.016749,0.498400,0.544420,10,10,3,23,17,30
mingqing,61,大骇道,0.521947,0.029256,0.472303,0.555354,10,12,6,0,0,0
mingqing,62,眼花撩乱,0.521806,0.037438,0.467924,0.589399,10,14,5,4,1,0
mingqing,63,思道,0.521718,0.032049,0.479825,0.579822,10,43,8,1,0,1
mingqing,64,眉头一皱,0.521480,0.042150,0.456920,0.577679,10,25,51,19,44,7
mingqing,65,恼恨,0.521345,0.016719,0.495583,0.544814,10,27,25,20,32,18
mingqing,66,直气,0.520783,0.029159,0.486361,0.569822,10,14,53,5,18,6
mingqing,67,担惊,0.520746,0.016515,0.500486,0.547574,10,23,41,12,17,0
mingqing,68,忧容,0.520093,0.024192,0.486392,0.555647,10,24,9,3,2,1
mingqing,69,用言,0.519320,0.028913,0.485049,0.562938,10,12,12,1,0,0
mingqing,70,无气,0.518875,0.037329,0.456169,0.580559,10,14,5,0,0,1
