rank,word,change_score,count_pre,count_post,cooc_pre,cooc_post
1,感情,0.330635,30,1303,0,76
2,嘴唇,0.326626,70,985,2,18
3,感觉,0.314397,5,1375,0,102
4,右手,0.293321,312,943,3,18
5,头发,0.274070,296,1354,3,12
6,小孩,0.270885,243,1632,9,14
7,爱情,0.263673,63,832,7,28
8,好象,0.259663,109,1117,12,54
9,态度,0.259210,105,1520,2,36
10,社会,0.257875,128,1234,3,8
11,问题,0.255733,59,1981,3,68
12,笑容,0.251510,61,960,4,20
13,灯光,0.250249,358,904,0,14
14,眼光,0.247547,92,1801,1,41
15,女士,0.239855,371,2042,15,93
16,人物,0.236785,474,1033,13,12
17,老人,0.234890,284,2331,3,50
18,时间,0.234294,76,1573,2,14
19,眼泪,0.232038,415,1571,21,78
20,力量,0.228045,135,1184,2,33
21,声音,0.227848,741,5526,17,119
22,淑英,0.215734,23,1197,0,44
23,桌子,0.212342,592,1106,5,6
24,中国,0.206734,2305,3794,27,51
25,母亲,0.202453,1785,6201,44,119
26,屋子里,0.199903,110,1366,0,13
27,父亲,0.196284,1653,4219,40,88
28,家庭,0.195916,178,954,1,12
29,眼睛,0.195907,991,5675,36,92
30,立夫,0.194793,5,808,0,21
31,床上,0.191401,689,1500,17,29
32,爸爸,0.190851,92,1167,3,8
33,小孩子,0.189775,422,1404,6,16
34,木兰,0.189037,12,2370,0,68
35,椅子,0.183376,354,888,1,9
36,学校,0.182685,103,1833,0,18
37,有点,0.181231,1380,3589,130,238
38,祖父,0.179991,182,981,0,6
39,男人,0.179468,305,1218,1,21
40,东西,0.176248,3639,7315,63,163
41,人生,0.173664,298,962,1,17
42,思想,0.169424,314,1483,47,76
43,妈妈,0.166661,377,1639,6,14
44,低声,0.164236,241,1225,2,21
45,敌人,0.163533,288,865,5,9
46,美丽,0.163223,114,1175,6,29
47,方面,0.162923,61,922,0,9
48,屋子,0.161754,334,1075,1,8
49,样子,0.155225,1051,3749,42,73
50,孩子,0.154690,901,4804,26,69
51,老侠,0.152938,5,1018,0,22
52,女人,0.149681,868,4201,20,62
53,名字,0.149654,1207,1425,24,22
54,日本,0.144183,802,3651,17,51
55,太阳,0.143539,272,1278,2,9
56,神气,0.142730,156,993,3,24
57,丈夫,0.139650,986,1880,24,38
58,客气,0.138293,386,916,6,13
59,房子,0.136758,826,1402,12,6
60,空气,0.135543,61,916,0,21
61,事情,0.132043,3404,5832,77,116
62,小林,0.123152,13,1128,0,11
63,金太太,0.121180,5,1400,0,27
64,北京,0.120203,394,1214,2,8
65,脸色,0.115735,84,1015,3,33
66,妹妹,0.114856,877,1346,14,19
67,生气,0.112530,392,1258,23,29
68,日子,0.112263,752,1542,10,29
69,学生,0.104434,1091,2626,24,38
70,院子,0.098548,378,1413,2,9
71,世界,0.098420,525,2008,7,27
72,耳朵,0.092951,441,981,18,22
73,精神,0.091079,570,1434,14,27
74,明白,0.087090,2188,3887,260,247
75,关系,0.087013,297,1584,7,17
76,心想,0.081448,491,794,15,24
77,身体,0.081133,471,1836,6,24
78,回家,0.078417,1365,2237,33,41
79,办法,0.075213,599,1816,7,19
80,身子,0.072905,659,1599,19,43
81,客人,0.072494,822,984,6,8
82,医生,0.065706,440,826,8,7
83,故事,0.063709,326,934,3,9
84,情形,0.063032,1424,1962,35,60
85,侠客,0.060164,105,855,5,5
86,先生,0.059279,4150,10929,55,157
87,方法,0.056329,466,951,1,12
88,男子,0.052525,1009,1534,13,28
89,商量,0.051461,2115,1147,19,8
90,道理,0.049617,1154,792,25,13
91,开口,0.049539,723,968,19,23
92,姑娘,0.048963,3010,2279,117,27
93,性命,0.043856,1670,500,15,7
94,个人,0.040966,2648,2115,33,35
95,颜色,0.036969,422,901,5,8
96,哥哥,0.036955,1397,2537,15,38
97,奶奶,0.032393,847,889,17,14
98,太太,0.028784,4932,7214,114,104
99,妻子,0.027819,911,774,18,16
100,地方,0.025727,3700,5960,43,79
