rank,word,change_score,count_pre,count_post,cooc_pre,cooc_post
1,大老爷,0.263009,447,1668,5,25
2,道台,0.250810,19,1104,0,23
3,姨太太,0.243554,105,1067,1,28
4,抚台,0.221445,93,1595,3,47
5,法子,0.210661,94,1052,1,16
6,太爷,0.209489,537,982,2,23
7,师爷,0.207124,92,902,1,13
8,王爷,0.200593,412,1267,6,23
9,上海,0.200276,9,2179,0,17
10,差使,0.195327,157,932,1,16
11,大众,0.189417,168,1110,1,15
12,贼人,0.178997,515,1485,4,33
13,朋友,0.175143,1264,2628,15,22
14,山东,0.167187,842,1175,4,17
15,太太,0.158510,1467,4932,32,114
16,外国,0.154251,111,1052,1,7
17,交代,0.154117,114,949,0,11
18,玉龙,0.154007,24,1504,0,27
19,意思,0.147372,794,1967,18,47
20,大人,0.143675,3007,7769,22,105
21,寨主,0.139506,307,1143,1,10
22,事情,0.139221,589,3404,13,77
23,将军,0.138717,2315,1840,8,14
24,英雄,0.133381,1131,2016,15,29
25,金台,0.131400,18,1699,0,73
26,上房,0.131083,315,972,2,12
27,情形,0.129833,153,1424,1,35
28,外国人,0.129477,9,1302,0,25
29,成龙,0.129436,134,1422,1,44
30,消息,0.128619,1021,1032,27,26
31,主人,0.128338,1371,1578,7,19
32,广东,0.125412,91,890,1,8
33,暗想,0.122390,638,918,222,368
34,徒弟,0.122126,901,757,5,11
35,原是,0.121574,1436,918,30,18
36,学堂,0.114746,71,1578,4,14
37,工夫,0.113629,469,1004,4,17
38,老人家,0.113148,923,1690,13,24
39,中国,0.111058,305,2305,5,27
40,少爷,0.110593,82,949,0,11
41,伙计,0.110382,573,1622,5,16
42,名字,0.106504,718,1207,13,24
43,弟子,0.104007,1023,1067,3,7
44,动手,0.099518,619,1075,8,14
45,大哥,0.098860,1274,1208,13,17
46,话说,0.098564,2685,1704,31,18
47,元帅,0.096889,2410,1450,26,16
48,明白,0.094515,1935,2188,264,260
49,姐姐,0.094363,1824,978,19,27
50,父母,0.094001,1825,2111,28,37
51,公馆,0.092887,282,1374,5,17
52,帝尧,0.088286,8,1166,0,14
53,客人,0.087241,945,822,11,6
54,钦差,0.086550,373,1494,4,13
55,衙门,0.083736,1527,2658,14,30
56,主意,0.080145,1149,2153,48,88
57,道人,0.077320,1109,785,15,16
58,妻子,0.076507,1531,911,44,18
59,贤弟,0.072843,1375,1292,19,17
60,商量,0.072188,881,2115,18,19
61,莫非,0.071393,904,583,44,39
62,夫妻,0.069170,1650,956,18,16
63,知府,0.067329,838,1453,9,41
64,先生,0.067325,4104,4150,46,55
65,老道,0.066777,351,1747,3,22
66,姊妹,0.066500,834,1421,15,14
67,兄弟,0.065575,3215,5070,34,92
68,姑娘,0.065483,1589,3010,28,117
69,百姓,0.064716,1395,1523,7,13
70,家人,0.058984,1915,2635,15,27
71,哥哥,0.058917,2354,1397,22,15
72,小弟,0.058396,2573,1247,15,15
73,父子,0.057029,1002,685,14,10
74,个人,0.056015,1222,2648,23,33
75,道理,0.056009,678,1154,7,25
76,男子,0.050505,766,1009,12,13
77,银子,0.050305,6457,4357,82,69
78,儿子,0.048680,2744,2235,51,60
79,女子,0.046799,2382,2080,42,45
80,夫妇,0.042281,1157,1497,12,14
81,老爷,0.041017,4749,6786,48,152
82,问道,0.040692,4395,3079,67,62
83,读书,0.040392,1047,874,20,5
84,老太太,0.036155,1005,992,25,14
85,老师,0.034544,547,984,2,19
86,东西,0.033921,2597,3639,44,63
87,二人,0.033810,6157,7867,89,106
88,人马,0.032330,1719,942,14,7
89,国王,0.029720,893,795,13,8
90,朝廷,0.029609,1434,826,14,8
91,弟兄,0.027497,1235,1140,12,17
92,母亲,0.024722,2025,1785,37,44
93,性命,0.023935,2213,1670,22,15
94,夫人,0.023724,5824,2923,95,32
95,姊姊,0.021460,1205,1025,13,7
96,公子,0.021319,5404,2657,87,59
97,孩子,0.019962,1086,901,28,26
98,商议,0.016812,1869,1170,41,13
99,蒋爷,0.016286,441,1183,6,11
100,地方,0.015315,1984,3700,20,43
