rank,word,change_score,count_pre,count_post,cooc_pre,cooc_post
1,大伙,0.273625,43,1420,0,36
2,战士,0.253000,111,4669,3,105
3,八路军,0.247202,52,1632,0,32
4,伪军,0.239639,23,2402,0,38
5,村长,0.234409,59,1283,0,32
6,俘虏,0.224128,64,1031,0,10
7,民兵,0.223029,13,2742,0,37
8,干部,0.221658,63,2951,0,49
9,手榴弹,0.217413,43,1057,0,15
10,小伙子,0.215262,240,923,5,29
11,金发,0.213722,6,3248,0,113
12,长春,0.209077,25,2808,0,121
13,同志,0.208459,1279,8086,2,148
14,全都,0.204355,333,1107,3,43
15,群众,0.201514,300,3324,3,52
16,队长,0.196630,346,2630,1,35
17,共产党,0.192092,164,2683,2,44
18,团长,0.182976,73,1409,1,22
19,互助组,0.182846,20,1421,0,19
20,毛主席,0.181500,11,916,0,22
21,县委,0.177878,7,1066,0,16
22,士兵,0.176501,97,917,1,19
23,江涛,0.175624,15,1089,0,49
24,地主,0.174290,190,1518,0,19
25,社员,0.173036,15,1183,0,21
26,身子,0.172550,1599,1836,43,47
27,领导,0.169197,119,2092,0,43
28,庄稼人,0.166647,48,1151,1,36
29,党员,0.166090,32,976,0,17
30,队伍,0.165237,370,2340,3,32
31,游击队,0.165030,29,1107,0,14
32,鬼子,0.163741,208,3408,2,52
33,脑袋,0.163538,572,1961,10,46
34,敌人,0.152291,865,12638,9,189
35,大叔,0.151972,131,949,1,20
36,闺女,0.149552,71,903,0,20
37,媳妇,0.148063,813,1830,8,40
38,耳朵,0.142897,981,1270,22,52
39,书记,0.137381,48,906,0,20
40,特务,0.131344,144,1965,0,14
41,任务,0.130862,105,2066,1,32
42,家伙,0.129439,347,1780,4,58
43,农民,0.128977,390,1777,7,28
44,事儿,0.128266,300,3923,5,108
45,人群,0.126903,256,1202,2,18
46,大水,0.126809,60,1931,0,118
47,部队,0.125870,110,2650,1,24
48,粮食,0.125317,215,2238,0,26
49,麦子,0.124056,51,1219,0,17
50,汉奸,0.119903,267,1276,2,14
51,石头,0.119171,736,945,42,58
52,情况,0.119082,154,4087,2,82
53,抗日,0.118127,80,1249,1,20
54,东山,0.117738,35,1338,0,32
55,大爷,0.116890,1153,807,11,25
56,红军,0.116543,39,2738,0,27
57,口气,0.115524,616,1227,14,41
58,奶奶,0.114556,889,1707,14,55
59,爸爸,0.114069,1167,1941,8,38
60,老汉,0.113457,57,1650,0,46
61,地问,0.113252,244,945,2,16
62,子弹,0.112031,216,1276,2,17
63,土地,0.111742,341,1244,0,22
64,队员,0.108924,98,1101,1,18
65,穷人,0.108887,215,1322,0,27
66,情绪,0.102745,461,983,48,77
67,枪声,0.100508,161,1148,2,12
68,老头,0.097281,669,1099,11,18
69,报告,0.094410,790,2247,12,29
70,炕上,0.093306,255,1172,2,23
71,样子,0.092736,3749,2522,73,92
72,衣裳,0.091503,872,784,8,10
73,营长,0.091502,67,1048,0,21
74,牲口,0.091197,162,1644,2,7
75,关系,0.090907,1584,1631,17,12
76,浑身,0.090669,358,1048,11,63
77,空气,0.088395,916,408,21,5
78,肩膀,0.087046,533,899,4,13
79,代表,0.081961,657,1327,4,24
80,社会主义,0.080539,27,1436,0,44
81,脖子,0.078159,612,1107,2,22
82,国民党,0.076513,79,1098,0,12
83,大娘,0.076412,571,1198,10,36
84,目光,0.075487,356,1010,16,32
85,胳膊,0.075431,419,1200,8,19
86,心情,0.073289,735,1580,16,43
87,小心,0.072096,594,905,13,12
88,肚子,0.070814,621,908,16,22
89,天气,0.069364,815,397,6,14
90,命令,0.069098,706,2196,8,14
91,办法,0.067540,1816,3737,19,68
92,讲话,0.065891,369,1079,2,32
93,脸色,0.063354,1015,999,33,38
94,意见,0.063348,738,2547,5,29
95,电话,0.062379,696,895,3,15
96,工人,0.061674,589,1930,2,19
97,人民,0.060936,541,1672,0,45
98,屋子里,0.059977,1366,721,13,9
99,开口,0.058550,968,953,23,25
100,低声,0.057462,1225,1235,21,21
