rank,word,change_score,count_pre,count_post,cooc_pre,cooc_post
1,医院,0.164424,399,1270,5,19
2,房间,0.141838,470,1480,9,13
3,感觉,0.138747,914,2162,77,157
4,命运,0.135365,318,798,8,8
5,北京,0.134712,530,1424,6,13
6,无法,0.133778,412,1505,25,67
7,消失,0.132299,400,894,28,39
8,陈独秀,0.130307,10,1099,0,23
9,外公,0.129577,12,1270,0,33
10,上海,0.128738,1170,1946,15,24
11,骆驼,0.124884,47,922,0,23
12,客人,0.115320,643,825,16,12
13,世界,0.115106,797,2180,12,38
14,土司,0.113418,60,3041,0,30
15,电话,0.113339,895,2556,15,48
16,妻子,0.105398,396,1815,11,58
17,方向,0.105067,925,750,10,12
18,家庭,0.098493,402,834,8,16
19,公司,0.086137,283,1416,1,15
20,同学,0.082808,713,1009,0,12
21,厂长,0.074031,331,1513,12,32
22,爱情,0.071680,252,911,8,49
23,老师,0.063831,824,2732,11,66
24,父亲,0.061771,1253,6065,26,106
25,历史,0.060710,396,1081,6,15
26,校长,0.057607,262,1994,2,37
27,毛泽东,0.057487,146,1089,0,23
28,小毛,0.057143,362,1140,1,25
29,大人,0.057088,346,848,12,13
30,市长,0.056228,51,987,2,10
31,姑娘,0.052240,1714,3419,48,117
32,老板,0.049991,349,937,3,14
33,美丽,0.049115,362,852,9,24
34,女儿,0.044145,1064,2870,26,127
35,村子,0.041063,996,550,7,6
36,女人,0.040029,2053,6344,47,122
37,草原,0.039450,49,1608,0,16
38,办公室,0.039335,787,1162,11,12
39,爷爷,0.038539,865,2011,20,45
40,地方,0.035912,4809,5283,71,67
41,弟弟,0.035467,388,1217,11,38
42,院子,0.034988,1926,1543,21,18
43,城市,0.034852,299,1265,1,13
44,眼泪,0.031433,1109,1165,80,46
45,父母,0.030133,294,1079,3,29
46,哥哥,0.030084,900,1737,28,45
47,时间,0.029963,2050,3142,37,41
48,医生,0.029958,590,924,6,22
49,太阳,0.029659,1021,1261,15,16
50,兄弟,0.024793,1391,1131,15,15
51,老婆,0.023494,1120,1764,21,41
52,姐姐,0.023061,990,1115,26,37
53,目光,0.022654,1010,1889,32,46
54,日子,0.022596,2102,2042,33,50
55,头发,0.021581,916,1354,17,19
56,双手,0.021235,769,1207,17,23
57,社会,0.021217,826,997,10,6
58,声音,0.021158,4612,3938,156,84
59,脖子,0.019098,1107,1112,22,15
60,阳光,0.018935,523,946,8,24
61,学校,0.016784,1027,1601,3,15
62,男人,0.016378,1105,3543,37,72
63,房子,0.016278,1134,1620,6,21
64,名字,0.015740,951,1288,32,18
65,儿子,0.015685,2631,3876,67,103
66,妈妈,0.011855,2210,1971,58,82
67,意思,0.008087,1702,2162,31,42
68,丈夫,0.007099,720,1554,19,49
69,秘密,0.006878,995,531,49,40
70,太太,0.002471,761,823,21,18
71,妹妹,0.000430,409,1304,8,39
