period,rank,word,similarity,cross_space
mingqing,1,暗喜,0.150777,True
mingqing,2,伏气,0.116522,True
mingqing,3,快畅,0.113958,True
mingqing,4,弃,0.107709,True
mingqing,5,不已,0.097672,True
mingqing,6,大喜,0.088661,True
mingqing,7,觉心,0.087721,True
mingqing,8,焦燥,0.085600,True
mingqing,9,更觉,0.084785,True
mingqing,10,却,0.083512,True
mingqing,11,标致,0.083147,True
mingqing,12,暗道,0.082827,True
mingqing,13,interiority,0.078236,True
mingqing,14,突突,0.076080,True
mingqing,15,疑惑,0.076029,True
mingqing,16,鲜明,0.074888,True
mingqing,17,口中,0.074260,True
mingqing,18,焦闷,0.073318,True
mingqing,19,暗暗,0.071537,True
mingqing,20,容颜,0.070848,True
mingqing,21,龙颜,0.069786,True
mingqing,22,杨妃,0.069210,True
mingqing,23,口里,0.069162,True
mingqing,24,焦躁,0.068884,True
mingqing,25,酣,0.068881,True
mingqing,26,忐忑,0.067080,True
mingqing,27,甚,0.066820,True
mingqing,28,素臣,0.066390,True
mingqing,29,轩昂,0.066299,True
mingqing,30,喝采,0.065361,True
mingqing,31,津津,0.065042,True
mingqing,32,先自,0.064316,True
mingqing,33,纳闷,0.062572,True
mingqing,34,洒落,0.061833,True
mingqing,35,不安,0.061428,True
mingqing,36,凤姨,0.060534,True
mingqing,37,即忙,0.060486,True
mingqing,38,心疑,0.060208,True
mingqing,39,澹然,0.060158,True
mingqing,40,怀恨,0.058964,True
mingqing,41,吊桶,0.057449,True
mingqing,42,暗将,0.055927,True
mingqing,43,悲酸,0.055916,True
mingqing,44,生得俊,0.054808,True
mingqing,45,更自,0.054584,True
mingqing,46,听得,0.054334,True
mingqing,47,面热,0.053992,True
mingqing,48,高赞,0.053976,True
mingqing,49,已后,0.052277,True
mingqing,50,假以,0.051119,True
mingqing,51,须要,0.050415,True
mingqing,52,内,0.049769,True
mingqing,53,悄,0.049448,True
mingqing,54,抓耳挠腮,0.049240,True
mingqing,55,觉道,0.048973,True
mingqing,56,春兴,0.048445,True
mingqing,57,不得,0.046172,True
mingqing,58,胆,0.045736,True
mingqing,59,精神恍惚,0.045313,True
mingqing,60,祷祝,0.041168,True
mingqing,61,炽,0.040902,True
mingqing,62,依言,0.040816,True
mingqing,63,暗,0.040801,True
mingqing,64,满心欢喜,0.039565,True
mingqing,65,着慌,0.037732,True
mingqing,66,奈何,0.037290,True
mingqing,67,甄龙友,0.035377,True
mingqing,68,了缘,0.035002,True
mingqing,69,歉然,0.035001,True
mingqing,70,伏侍,0.034969,True
mingqing,71,其言,0.034778,True
mingqing,72,云头,0.034759,True
mingqing,73,怨望,0.034705,True
mingqing,74,口,0.034550,True
mingqing,75,解衣,0.034201,True
mingqing,76,寿儿,0.033830,True
mingqing,77,素日,0.033638,True
mingqing,78,尚然,0.033458,True
mingqing,79,悬悬,0.032293,True
mingqing,80,其意,0.031892,True
mingqing,81,言语,0.031737,True
mingqing,82,李勉,0.031504,True
mingqing,83,芳姿,0.031109,True
mingqing,84,过迁,0.030863,True
mingqing,85,火发,0.030792,True
mingqing,86,欣然,0.030671,True
mingqing,87,齐整,0.030419,True
mingqing,88,钻入,0.030263,True
mingqing,89,开封,0.030158,True
mingqing,90,欲火,0.029885,True
mingqing,91,静真,0.029726,True
mingqing,92,苦劝,0.029702,True
mingqing,93,自此,0.029425,True
mingqing,94,厮闹,0.029221,True
mingqing,95,思量,0.028499,True
mingqing,96,款留,0.028342,True
mingqing,97,决撒,0.028181,True
mingqing,98,汪革,0.028133,True
mingqing,99,程宰,0.027983,True
mingqing,100,苗知硕,0.027412,True
mingqing,1,没入脚处,0.600874,False
mingqing,2,欲心如火,0.594545,False
mingqing,3,杨元礼,0.592608,False
mingqing,4,想计,0.591269,False
mingqing,5,便许,0.586708,False
mingqing,6,慌迫,0.584923,False
mingqing,7,呜哩呜喇,0.584523,False
mingqing,8,风丹,0.580700,False
mingqing,9,七上八落,0.578711,False
mingqing,10,罕然,0.577639,False
mingqing,11,快畅,0.575148,False
mingqing,12,无计可奈,0.572645,False
mingqing,13,惭惶,0.572220,False
mingqing,14,复觉,0.570230,False
mingqing,15,武妃,0.570209,False
mingqing,16,元普,0.570201,False
mingqing,17,惟过,0.570197,False
mingqing,18,害酒,0.570162,False
mingqing,19,鲁公,0.567515,False
mingqing,20,闲愁万种,0.566462,False
mingqing,21,朒,0.566301,False
mingqing,22,禁架,0.566257,False
mingqing,23,大卿,0.562400,False
mingqing,24,做张做智,0.562114,False
