period,rank,word,similarity,freq_mingqing,freq_late_qing,freq_republican,freq_socialist,freq_contemporary
mingqing,1,暗恼,0.6568202972412109,11,1,0,0,0
mingqing,2,自想道,0.640479564666748,26,2,0,0,0
mingqing,3,没入脚处,0.6340181231498718,12,0,0,0,0
mingqing,4,伤触,0.6314391493797302,10,1,0,0,0
mingqing,5,痴话,0.6221059560775757,11,1,4,0,0
mingqing,6,签诀,0.6195622682571411,14,2,0,0,0
mingqing,7,暗气,0.6178120374679565,11,3,0,0,0
mingqing,8,转加,0.611565113067627,13,2,0,0,0
mingqing,9,疑影,0.609390139579773,10,2,0,0,0
mingqing,10,秀娥,0.6064884662628174,51,0,0,0,0
mingqing,11,乳婆,0.6050716638565063,10,0,0,0,0
mingqing,12,见说,0.6019973158836365,691,93,14,3,3
mingqing,13,寝食俱废,0.6006072759628296,15,5,0,0,0
mingqing,14,懊悔无及,0.5982112288475037,11,1,0,0,0
mingqing,15,思道,0.5962059497833252,42,8,1,0,1
mingqing,16,精爽,0.5950302481651306,11,3,1,0,0
mingqing,17,潘婆道,0.5897548198699951,13,0,0,0,0
mingqing,18,柳生,0.5889682173728943,24,1,0,0,0
mingqing,19,快畅,0.588160514831543,29,3,0,0,0
mingqing,20,七上八落,0.5879371762275696,11,8,0,0,0
mingqing,21,暴躁如雷,0.5856804251670837,11,1,1,0,0
mingqing,22,想道,0.5850965976715088,948,717,134,102,22
mingqing,23,三回五次,0.5849239230155945,19,2,3,0,0
mingqing,24,废寝忘餐,0.5840116739273071,11,4,2,2,0
mingqing,25,卜少泉,0.5839571356773376,20,0,0,0,0
mingqing,26,甄夫人,0.5821502208709717,10,0,0,0,0
mingqing,27,琴娘,0.5814053416252136,10,0,0,0,0
mingqing,28,阎公,0.5809364318847656,16,1,0,0,0
mingqing,29,痴丫头,0.5808346271514893,13,3,0,0,0
mingqing,30,拜住,0.580044150352478,33,0,0,0,0
mingqing,31,韦家哥,0.5798037052154541,10,0,0,0,0
mingqing,32,莫翁,0.579210638999939,48,1,0,0,0
mingqing,33,姚公,0.5790066719055176,11,4,0,0,0
mingqing,34,韦郎,0.5783986449241638,17,2,0,0,0
mingqing,35,欲心,0.5774199366569519,24,5,0,0,0
mingqing,36,没做道理处,0.5759870409965515,15,1,0,0,0
mingqing,37,汪涵宇,0.5757744908332825,50,0,0,0,0
mingqing,38,蜚英,0.5753397941589355,27,0,0,0,0
mingqing,39,狠道,0.5751988291740417,10,2,0,0,0
mingqing,40,吴秀才,0.574154257774353,12,0,0,0,0
mingqing,41,青箱,0.5738579034805298,17,2,0,0,0
mingqing,42,蒋震卿,0.5737031698226929,23,0,0,0,0
mingqing,43,词色,0.5735198259353638,17,12,6,0,0
mingqing,44,瑞姐,0.573124885559082,16,1,0,0,0
mingqing,45,展玩,0.5728671550750732,11,5,0,0,0
mingqing,46,赵蜜嘴,0.5728315114974976,20,0,0,0,0
mingqing,47,忧惶,0.5717079639434814,11,3,0,0,0
mingqing,48,旧性,0.5705105662345886,17,7,3,0,0
mingqing,49,偷期,0.5701711773872375,13,2,0,0,0
mingqing,50,莫妈,0.5700578689575195,11,0,0,0,0
late_qing,1,毕拍,0.6245906352996826,0,11,0,0,0
late_qing,2,中烧,0.5907108187675476,1,10,2,0,3
late_qing,3,陈风岐,0.5722532868385315,0,12,0,0,0
late_qing,4,和衣而卧,0.5620984435081482,15,18,0,1,2
late_qing,5,甚为,0.5605270266532898,133,584,69,15,11
late_qing,6,小观,0.5528172850608826,0,26,2,0,0
late_qing,7,跺足,0.5512861609458923,1,16,1,0,2
late_qing,8,圆转,0.5499080419540405,4,20,3,0,4
late_qing,9,腹胀,0.5498055815696716,12,11,0,0,1
late_qing,10,却却,0.5478968024253845,0,10,0,0,0
late_qing,11,瑞庵,0.5474653840065002,0,34,0,0,0
late_qing,12,稍觉,0.5473803877830505,14,13,6,0,0
late_qing,13,心迷,0.5472816824913025,8,11,0,0,2
late_qing,14,满肚皮,0.5471382141113281,3,29,8,3,3
late_qing,15,茶饭无心,0.5437918901443481,6,10,1,1,1
late_qing,16,闵中,0.5412386655807495,0,14,0,0,0
late_qing,17,咳声叹气,0.5396750569343567,2,23,2,1,0
late_qing,18,走为上策,0.5379016995429993,4,19,0,1,1
late_qing,19,神昏,0.5363837480545044,15,15,1,1,0
late_qing,20,肚内,0.5350450277328491,32,48,4,1,0
late_qing,21,五内,0.5330060720443726,15,15,3,0,1
late_qing,22,转觉,0.532766580581665,15,14,2,0,0
late_qing,23,急的,0.5323899984359741,9,24,2,2,2
late_qing,24,五灵,0.5319182872772217,1,11,1,0,0
late_qing,25,如切,0.5313299894332886,6,15,0,0,0
late_qing,26,想道,0.5307187438011169,948,717,134,102,22
late_qing,27,琼秋,0.5307090282440186,0,12,0,0,0
late_qing,28,更外,0.5293498039245605,0,50,0,0,0
late_qing,29,万箭攒心,0.5288640856742859,15,17,1,0,0
late_qing,30,复初,0.5283232927322388,2,21,0,0,0
late_qing,31,面红耳热,0.5275071263313293,11,10,2,0,2
late_qing,32,伤惨,0.5272976160049438,4,22,2,0,2
