rank,word,n_trials,mean_sim_mean,mean_sim_std,sim_mingqing_late_qing_mean,sim_mingqing_late_qing_std,sim_late_qing_republican_mean,sim_late_qing_republican_std,sim_republican_socialist_mean,sim_republican_socialist_std,sim_socialist_contemporary_mean,sim_socialist_contemporary_std
1,身穿,100,0.683751,0.012198,0.716831,0.018664,0.634054,0.024104,0.686194,0.018536,0.697926,0.019926
2,一杯,100,0.669421,0.011101,0.722701,0.018324,0.588270,0.023188,0.688656,0.019803,0.678056,0.020755
3,大字,100,0.662406,0.011648,0.708968,0.018413,0.625062,0.020584,0.639807,0.017581,0.675788,0.020151
4,身材,100,0.659417,0.012811,0.679064,0.020819,0.604542,0.023477,0.682584,0.018582,0.671478,0.022477
5,掏出,100,0.652481,0.011439,0.615058,0.022546,0.643345,0.019977,0.677660,0.019966,0.673860,0.021522
6,一双,100,0.646035,0.013201,0.663051,0.023208,0.644996,0.024921,0.598060,0.024278,0.678034,0.023073
7,一碗,100,0.645948,0.012211,0.648315,0.019852,0.624745,0.025333,0.673565,0.020699,0.637167,0.022532
8,头发,100,0.642543,0.013736,0.621492,0.023007,0.566685,0.026722,0.698624,0.021095,0.683371,0.021842
9,写着,100,0.641197,0.012597,0.671904,0.022783,0.581728,0.025211,0.655050,0.021143,0.656105,0.024195
10,眼泪,100,0.640155,0.012290,0.648171,0.022819,0.592782,0.022623,0.662505,0.020298,0.657162,0.022826
11,跌倒,100,0.633078,0.011028,0.713873,0.014277,0.540091,0.024038,0.598853,0.023674,0.679496,0.019706
12,照耀,100,0.632945,0.011961,0.732399,0.017986,0.495376,0.026060,0.612296,0.021376,0.691710,0.019164
13,年纪,100,0.630444,0.012457,0.641848,0.020700,0.649670,0.022376,0.638556,0.022529,0.591703,0.026534
14,桌子,100,0.629836,0.012532,0.636651,0.022641,0.614546,0.023459,0.617761,0.023647,0.650385,0.021402
15,灯光,100,0.629547,0.012074,0.621289,0.024243,0.536744,0.024824,0.686031,0.019677,0.674124,0.024385
16,树木,100,0.629208,0.012267,0.679519,0.021963,0.559034,0.022070,0.626982,0.020876,0.651296,0.020742
17,一座,100,0.629026,0.013090,0.617588,0.023875,0.575689,0.025559,0.662816,0.022774,0.660010,0.021748
18,一惊,100,0.627876,0.013944,0.650464,0.021148,0.617043,0.025464,0.640879,0.021170,0.603118,0.023416
19,摸出,100,0.627245,0.011768,0.659168,0.021644,0.568763,0.025379,0.628758,0.021711,0.652293,0.019933
20,一枪,100,0.626926,0.013110,0.653535,0.021227,0.577005,0.021036,0.600455,0.024142,0.676710,0.021989
21,腰间,100,0.625681,0.013155,0.686714,0.020537,0.622084,0.024602,0.557871,0.024987,0.636056,0.024032
22,一顿,100,0.624968,0.012632,0.638307,0.024286,0.618936,0.025373,0.588136,0.022891,0.654495,0.019347
23,说不出,100,0.623842,0.012501,0.615360,0.020986,0.558010,0.022754,0.632673,0.022048,0.689324,0.018725
24,天气,100,0.623224,0.012995,0.657387,0.019101,0.570545,0.022815,0.627662,0.023507,0.637301,0.023765
25,一拳,100,0.622205,0.010537,0.674544,0.020757,0.577263,0.019103,0.609377,0.023404,0.627635,0.020479
26,声响,100,0.621796,0.011353,0.685792,0.019535,0.538482,0.025982,0.593147,0.022501,0.669761,0.023803
27,水面,100,0.621154,0.012308,0.623854,0.019510,0.505330,0.025573,0.673435,0.023328,0.681998,0.021228
28,一遍,100,0.620396,0.013207,0.688331,0.017737,0.556232,0.023530,0.593934,0.025519,0.643086,0.022452
29,一根,100,0.620217,0.013230,0.595594,0.022593,0.577685,0.026059,0.627641,0.022782,0.679947,0.020679
30,通红,100,0.619644,0.012324,0.660180,0.020790,0.563076,0.025462,0.607249,0.022630,0.648072,0.021765
31,桌上,100,0.619329,0.012376,0.633354,0.023115,0.575881,0.025147,0.608819,0.023476,0.659262,0.020826
32,看待,100,0.617606,0.013284,0.619202,0.022535,0.642462,0.021624,0.626825,0.021224,0.581934,0.020372
33,一间,100,0.617129,0.012797,0.636639,0.021644,0.629794,0.021674,0.610364,0.025695,0.591722,0.023811
34,一盏,100,0.617067,0.011240,0.560914,0.024581,0.575077,0.025965,0.698100,0.017804,0.634176,0.019812
35,动静,100,0.616125,0.011267,0.644954,0.022397,0.590128,0.022321,0.589663,0.024617,0.639753,0.021910
36,大哭,100,0.615487,0.011833,0.622267,0.018774,0.574829,0.019003,0.594856,0.022676,0.669995,0.020246
37,椅子,100,0.613879,0.013507,0.624473,0.022132,0.583875,0.021012,0.611305,0.023584,0.635862,0.024136
38,取出,100,0.611714,0.010317,0.622317,0.022247,0.551974,0.022064,0.637857,0.020163,0.634709,0.022722
39,浑身,100,0.611563,0.012380,0.658754,0.021607,0.520857,0.021792,0.641074,0.022415,0.625567,0.025278
40,一刀,100,0.611351,0.013573,0.686410,0.021204,0.567776,0.025656,0.600182,0.020432,0.591035,0.024727
41,床上,100,0.611171,0.012525,0.609563,0.022230,0.603155,0.024142,0.590959,0.023429,0.641006,0.021858
42,晚饭,100,0.611160,0.014594,0.656624,0.021384,0.559900,0.025855,0.607710,0.022812,0.620405,0.023056
43,一顶,100,0.610791,0.012734,0.621030,0.022618,0.545502,0.022478,0.580987,0.022426,0.695645,0.021351
44,眼色,100,0.610323,0.011624,0.652016,0.019549,0.595531,0.020920,0.603401,0.022518,0.590342,0.021347
45,题目,100,0.609601,0.011120,0.639905,0.021444,0.587067,0.021455,0.568269,0.023870,0.643165,0.023005
46,热闹,100,0.608684,0.013287,0.611639,0.022993,0.586817,0.021488,0.606270,0.024464,0.630009,0.022526
47,整齐,100,0.608350,0.011967,0.548404,0.024104,0.537035,0.025477,0.659949,0.023225,0.688012,0.017390
48,火光,100,0.608280,0.012813,0.663346,0.021402,0.550110,0.025958,0.578856,0.023910,0.640807,0.021469
49,裤子,100,0.606620,0.013954,0.584671,0.025949,0.574980,0.024239,0.635446,0.024147,0.631382,0.021423
50,一匹,100,0.605666,0.014011,0.636429,0.022100,0.568466,0.026615,0.582978,0.023654,0.634789,0.024965
